Feature,Importance
categorical__Ingredient_FLUOCINOLONE ACETONIDE,0.002584245
categorical__Ingredient_CYPROHEPTADINE HYDROCHLORIDE,0.0025472082
categorical__Ingredient_FULVESTRANT,0.0025152017
categorical__Ingredient_ACETYLCYSTEINE,0.0024920872
categorical__Ingredient_PHENYLEPHRINE HYDROCHLORIDE,0.0024485274
categorical__DF;Route_SUSPENSION;INHALATION,0.0024299817
categorical__DF;Route_LIQUID;ORAL,0.0024164163
"categorical__DF;Route_SOLUTION;INHALATION, ORAL",0.002376726
categorical__Strength_0.05%,0.0023543905
categorical__Ingredient_HALOPERIDOL DECANOATE,0.0023262359
categorical__Ingredient_PHENDIMETRAZINE TARTRATE,0.0023018902
categorical__Strength_0.025MG;2.5MG,0.0023008846
categorical__DF;Route_POWDER;INHALATION,0.0022221056
categorical__DF;Route_LOTION;TOPICAL,0.002217667
"categorical__Strength_100,000 UNITS/GM",0.0022037113
"categorical__Dosage_Form_FILM, EXTENDED RELEASE",0.0021864807
categorical__Ingredient_CLINDAMYCIN PHOSPHATE; TRETINOIN,0.0021660645
categorical__Ingredient_TOPIRAMATE,0.0021308982
categorical__Strength_100MG/VIAL,0.0020977636
categorical__Ingredient_IRON SUCROSE,0.0020736326
categorical__Ingredient_SAPROPTERIN DIHYDROCHLORIDE,0.0020269942
categorical__Strength_EQ 100MG BASE/ML,0.0020236229
categorical__Strength_20%,0.0019908033
categorical__Ingredient_GLYCEROL PHENYLBUTYRATE,0.0019828544
categorical__Ingredient_BRIMONIDINE TARTRATE; TIMOLOL MALEATE,0.001980284
categorical__Strength_150MG/ML,0.001951612
categorical__Route_Of_Administration_DENTAL,0.0019508514
categorical__Dosage_Form_SUSPENSION/DROPS,0.0019469716
categorical__Strength_40MG/ML,0.0019089706
categorical__Dosage_Form_SPRAY,0.0019043918
categorical__Ingredient_PROPOFOL,0.0018973565
categorical__Ingredient_BETAMETHASONE VALERATE,0.00188838
categorical__Ingredient_TRIHEXYPHENIDYL HYDROCHLORIDE,0.0018730874
categorical__Ingredient_RISPERIDONE,0.0018703197
"categorical__DF;Route_FILM, EXTENDED RELEASE;TRANSDERMAL",0.0018613923
categorical__DF;Route_TABLET;ORAL-28,0.0018473511
categorical__Ingredient_METFORMIN HYDROCHLORIDE,0.0018472989
categorical__Dosage_Form_ELIXIR,0.0018329575
categorical__Ingredient_TESTOSTERONE,0.0017879179
categorical__DF;Route_PASTE;DENTAL,0.0017865442
categorical__Strength_EQ 50MG BASE/ML,0.0017788474
"categorical__Dosage_Form_AEROSOL, METERED",0.0017780173
categorical__Ingredient_SUMATRIPTAN SUCCINATE,0.0017755162
categorical__Dosage_Form_GEL,0.0017652472
categorical__Strength_8MEQ,0.0017496096
categorical__Ingredient_OCTREOTIDE ACETATE,0.0017339247
categorical__Ingredient_DIATRIZOATE MEGLUMINE; DIATRIZOATE SODIUM,0.0017298699
categorical__Ingredient_LACTULOSE,0.0017277751
categorical__Ingredient_EPOPROSTENOL SODIUM,0.0016824378
categorical__Ingredient_TRAMADOL HYDROCHLORIDE,0.0016801127
"categorical__DF;Route_AEROSOL, METERED;INHALATION",0.0016624227
categorical__DF;Route_LIQUID;INHALATION,0.0016522576
categorical__Dosage_Form_CAPSULE,0.0016452033
categorical__Strength_0.2%;EQ 0.5% BASE,0.0016180733
categorical__Strength_325MG;50MG;40MG,0.0015983876
categorical__Dosage_Form_OINTMENT,0.001592717
categorical__Strength_1MG/2ML,0.0015924833
categorical__Strength_25MG/ML,0.0015802957
categorical__Ingredient_ESTRADIOL,0.0015762231
categorical__Strength_250MG/5ML (50MG/ML),0.0015747023
categorical__Ingredient_ENALAPRIL MALEATE,0.0015692263
categorical__DF;Route_INJECTABLE;INJECTION,0.0015620908
categorical__Ingredient_MEDROXYPROGESTERONE ACETATE,0.0015339048
categorical__Route_Of_Administration_ORAL-28,0.001527316
categorical__Ingredient_EPINEPHRINE,0.0015120809
"categorical__Strength_100,000 UNITS/GM;0.1%",0.0015069771
categorical__Strength_10%,0.0015027743
categorical__Ingredient_BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,0.0014955491
categorical__Strength_0.1MG,0.0014907842
categorical__Ingredient_TESTOSTERONE CYPIONATE,0.0014786955
categorical__Ingredient_NYSTATIN; TRIAMCINOLONE ACETONIDE,0.0014677981
categorical__Strength_EQ 0.09MG BASE/INH,0.0014465852
categorical__Strength_0.35MG,0.0014301148
categorical__Ingredient_VALGANCICLOVIR HYDROCHLORIDE,0.0014225435
categorical__Strength_EQ 40MG BASE,0.0014190376
categorical__Ingredient_PACLITAXEL,0.001414107
categorical__DF;Route_INJECTABLE;SUBCUTANEOUS,0.0013970764
categorical__Ingredient_BETAINE,0.0013925069
categorical__Ingredient_CLONIDINE HYDROCHLORIDE,0.0013843412
categorical__Strength_500MG/5ML,0.001382592
categorical__Ingredient_LIDOCAINE HYDROCHLORIDE,0.0013822726
categorical__Ingredient_HYDROCORTISONE,0.001364001
categorical__Ingredient_ESTRADIOL VALERATE,0.001361191
"categorical__DF;Route_SUSPENSION;ORAL, RECTAL",0.0013212936
categorical__Ingredient_HYDROCORTISONE BUTYRATE,0.0013182964
categorical__Strength_0.03MG;0.15MG,0.0012881667
categorical__Strength_EQ 1% BASE,0.0012850099
categorical__Ingredient_ALBUTEROL SULFATE,0.0012827605
categorical__Ingredient_NORETHINDRONE,0.0012745151
categorical__Strength_750MG,0.0012705983
categorical__DF;Route_OINTMENT;OPHTHALMIC,0.0012657183
categorical__DF;Route_PATCH;TOPICAL,0.0012593
categorical__Strength_41%,0.0012449264
categorical__Strength_45MG,0.001242849
categorical__Ingredient_TAVABOROLE,0.0012275939
"categorical__DF;Route_AEROSOL, FOAM;TOPICAL",0.001223497
categorical__DF;Route_SOLUTION;INTRAVENOUS,0.0012203833
categorical__Ingredient_CLINDAMYCIN PHOSPHATE,0.001219437
categorical__Strength_1MG,0.0012178643
categorical__DF;Route_CAPSULE;ORAL,0.0012130004
categorical__Strength_300MG/3ML (100MG/ML),0.001209034
"categorical__DF;Route_INJECTABLE;INTRAVENOUS, SUBCUTANEOUS",0.0012079332
categorical__Ingredient_TRAVOPROST,0.0011747932
categorical__Ingredient_METHYLPHENIDATE HYDROCHLORIDE,0.0011689166
categorical__Ingredient_RISEDRONATE SODIUM,0.0011686941
categorical__Strength_0.02MG;0.1MG,0.0011664334
categorical__Ingredient_CLONIDINE,0.0011635546
categorical__DF;Route_SPRAY;TOPICAL,0.0011632208
categorical__DF;Route_SOLUTION;SUBCUTANEOUS,0.0011384198
categorical__Ingredient_ERYTHROMYCIN,0.0011367768
"categorical__Dosage_Form_SOLUTION, METERED",0.0011334737
categorical__Strength_35MG,0.0011305341
categorical__Ingredient_CLOBETASOL PROPIONATE,0.0011213275
categorical__Strength_100%,0.0011131773
categorical__Strength_375MG,0.0011092502
"categorical__DF;Route_POWDER;INTRAVENOUS, SUBCUTANEOUS",0.00110004
categorical__Strength_200MG/ML,0.0010977627
categorical__Dosage_Form_CREAM,0.0010913853
categorical__Ingredient_DICLOFENAC POTASSIUM,0.0010889143
categorical__Ingredient_LANREOTIDE ACETATE,0.0010886799
categorical__Strength_1.62% (20.25MG/1.25GM ACTUATION),0.0010877022
categorical__Strength_1GM/SCOOPFUL,0.0010847541
categorical__DF;Route_CREAM;TOPICAL,0.0010802146
categorical__Ingredient_LIDOCAINE,0.0010715224
categorical__DF;Route_TABLET;ORAL,0.0010708323
categorical__Strength_2%,0.0010509305
categorical__Ingredient_TIMOLOL MALEATE,0.0010169689
categorical__Ingredient_ENOXAPARIN SODIUM,0.0010081208
"categorical__Route_Of_Administration_INTRACAVITARY, INTRAVENOUS, INTRAVESICAL",0.0010026551
categorical__Strength_18MG/3ML (6MG/ML),0.0010015351
categorical__Ingredient_CHLORHEXIDINE GLUCONATE,0.0009911221
