Gnrc_Name,Brnd_Name,Tot_Clms,Tot_Drug_Cst,Tot_Benes,Tot_30day_Fills,Tot_Day_Suply,year
Atorvastatin Calcium,Atorvastatin Calcium,63972233,842381424.5100001,19620926.0,156135983.8,4634677734,2022
Amlodipine Besylate,Amlodipine Besylate,44852631,340239063.65999997,13584532.0,106261757.39999999,3152828838,2022
Levothyroxine Sodium,Levothyroxine Sodium,43950751,995036396.5000001,11789434.0,100610369.5,2964939652,2022
Lisinopril,Lisinopril,35070952,265182025.59000003,10625286.0,85276057.80000001,2533567128,2022
Gabapentin,Gabapentin,33098365,690712097.6199998,9029262.0,51281313.90000002,1491568670,2022
Metformin Hcl,Metformin Hcl,31371030,384775386.47000015,9297646.0,74917496.09999998,2226295346,2022
Losartan Potassium,Losartan Potassium,30471700,368173428.4899999,9228779.0,74680169.39999999,2223618031,2022
Omeprazole,Omeprazole,27081531,388390244.90000004,8197546.0,59016035.80000001,1747289788,2022
Metoprolol Succinate,Metoprolol Succinate,26966675,544342439.6199999,8157238.0,63693674.99999999,1890966669,2022
Furosemide,Furosemide,21895127,134829834.76999995,6786626.0,41813859.500000015,1197138825,2022
Pantoprazole Sodium,Pantoprazole Sodium,21121153,351086219.5800001,6562154.0,42953350.19999999,1263041770,2022
Rosuvastatin Calcium,Rosuvastatin Calcium,21059853,587487928.2399999,6646683.0,53481496.099999994,1596369393,2022
Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,19633438,417610604.43,6625350.0,19681275.9,415312504,2022
Apixaban,Eliquis,17993528,14443609917.289997,4189263.0,28483387.800000004,797309676,2022
Hydrochlorothiazide,Hydrochlorothiazide,17922107,95670325.92999999,5550503.0,44535854.20000001,1328574390,2022
Tamsulosin Hcl,Tamsulosin Hcl,17826974,345634830.0599999,5336926.0,39390265.000000015,1162820507,2022
Simvastatin,Simvastatin,16789093,149208729.61000004,4776733.0,42519252.199999996,1266703398,2022
