Gnrc_Name,Brnd_Name,Tot_Clms,Tot_Drug_Cst,Tot_Benes,Tot_30day_Fills,Tot_Day_Suply,year
Atorvastatin Calcium,Atorvastatin Calcium,67633912,993675781.9300003,20817428.0,166266169.6,4932858629,2023
Amlodipine Besylate,Amlodipine Besylate,46601898,402755302.21000004,14243749.0,111691473.19999997,3312770523,2023
Levothyroxine Sodium,Levothyroxine Sodium,45138029,969026257.1699998,11863150.0,104506292.70000002,3079479325,2023
Lisinopril,Lisinopril,35257305,326219597.2299999,10695370.0,86757047.10000002,2577200721,2023
Gabapentin,Gabapentin,33913654,651205397.5199999,9401345.0,53022915.49999999,1540565773,2023
Losartan Potassium,Losartan Potassium,32407536,478156556.33000004,9963476.0,80694513.90000002,2402375537,2023
Metformin Hcl,Metformin Hcl,31793565,494864331.3699999,9518488.0,76663999.69999997,2277149192,2023
Metoprolol Succinate,Metoprolol Succinate,28792402,574171075.22,8828471.0,68621238.39999999,2036173502,2023
Omeprazole,Omeprazole,27230410,409186968.73000014,8327945.0,60224877.90000001,1782741511,2023
Rosuvastatin Calcium,Rosuvastatin Calcium,25188902,594106014.0699998,8021162.0,64819020.29999997,1934446996,2023
Pantoprazole Sodium,Pantoprazole Sodium,22538863,369661686.15000004,7079853.0,46379025.0,1362934835,2023
Furosemide,Furosemide,22000367,139952166.82999998,6865813.0,41833548.9,1195698128,2023
Apixaban,Eliquis,20163420,17392162956.070004,4771977.0,32167831.19999999,897991546,2023
Hydrocodone/Acetaminophen,Hydrocodone-Acetaminophen,18961158,412257483.83000004,6401473.0,18999375.300000004,401428408,2023
Tamsulosin Hcl,Tamsulosin Hcl,18879859,380657614.3499999,5710088.0,42147797.50000001,1242966118,2023
Albuterol Sulfate,Albuterol Sulfate Hfa,17712090,698450606.3000001,7055257.0,21257826.200000007,525985355,2023
Hydrochlorothiazide,Hydrochlorothiazide,17656054,95038209.20999996,5474277.0,44240447.60000001,1319383820,2023
Trazodone Hcl,Trazodone Hcl,16276859,207440616.17,4216120.0,27934490.89999999,811931242,2023
Metoprolol Tartrate,Metoprolol Tartrate,15390982,133310294.19,4497503.0,33806517.79999999,990848023,2023
Simvastatin,Simvastatin,15388703,166622425.58999997,4379875.0,39227409.3,1168167711,2023
Sertraline Hcl,Sertraline Hcl,14519326,167063196.57000002,3472195.0,26740180.300000012,776106230,2023
Carvedilol,Carvedilol,14325976,169220130.76000008,4211647.0,32123294.999999996,948251660,2023
Potassium Chloride,Klor-Con M20,13776316,387375545.8099999,3871013.0,25668401.400000002,733185556,2023
Prednisone,Prednisone,13437997,85277054.86999997,8157121.0,16264860.099999998,289297149,2023
Clopidogrel Bisulfate,Clopidogrel,12148014,189623807.30999994,3638337.0,27070106.700000007,798342832,2023
Fluticasone Propionate,Fluticasone Propionate,11946980,418370615.45,5044049.0,19885567.9,594402988,2023
Famotidine,Famotidine,11747802,188376389.31,3588594.0,22427260.4,653341223,2023
Tramadol Hcl,Tramadol Hcl,11738319,100739801.65,4103437.0,11915924.799999997,241427314,2023
Duloxetine Hcl,Duloxetine Hcl,11444110,375083684.40999997,2753788.0,20867095.200000003,611864443,2023
Montelukast Sodium,Montelukast Sodium,11318872,181296389.05999997,3282523.0,24788794.499999993,735996493,2023
Escitalopram Oxalate,Escitalopram Oxalate,11090501,164168681.24,2745646.0,21009383.2,613817380,2023
Alprazolam,Alprazolam,10981542,81748730.22000001,2493422.0,11867195.199999997,325986494,2023
Meloxicam,Meloxicam,10554271,63569286.93000001,3986330.0,17420742.9,510064142,2023
Latanoprost,Latanoprost,9881149,208457898.19000003,2705733.0,18296645.7,525565625,2023
Pravastatin Sodium,Pravastatin Sodium,9013479,171702557.45,2532309.0,22752314.1,675459853,2023
Allopurinol,Allopurinol,8613058,127133335.24999996,2349769.0,20488179.300000004,606777720,2023
Quetiapine Fumarate,Quetiapine Fumarate,8585605,226738742.77999997,1618725.0,11369985.8,318387310,2023
Clonazepam,Clonazepam,8276010,77511462.39000003,1556336.0,9037219.299999999,256432996,2023
Oxycodone Hcl,Oxycodone Hcl,7870077,471694200.57000005,2852169.0,7880780.799999999,156225788,2023
Oxycodone Hcl/Acetaminophen,Oxycodone-Acetaminophen,7818639,300871438.97,2382176.0,7827515.699999999,176374639,2023
Alendronate Sodium,Alendronate Sodium,7647426,92642190.65000002,2240813.0,17107716.9,507096406,2023
Diclofenac Sodium,Diclofenac Sodium,7631609,476347545.2899998,3021432.0,9352082.8,232361148,2023
Amoxicillin,Amoxicillin,7566479,28087912.9,5828754.0,7627536.199999999,53484605,2023
Bupropion Hcl,Bupropion Hcl Sr,7462789,246317720.04000005,1788178.0,13673618.499999998,403390300,2023
Empagliflozin,Jardiance,7460553,8031744087.31,1920264.0,13778580.9,404134859,2023
Lorazepam,Lorazepam,7284782,70289758.47999997,1797350.0,7815051.800000002,199578513,2023
Semaglutide,Ozempic,7171085,9670618798.109999,1721681.0,10132234.7,295291728,2023
Donepezil Hcl,Donepezil Hcl,7068757,111947841.96,1636242.0,11787084.500000006,335108413,2023
Mirtazapine,Mirtazapine,7065219,156730401.31,1591855.0,10190618.2,285944682,2023
Zolpidem Tartrate,Zolpidem Tartrate,7029773,70334679.38999999,1578398.0,8717296.1,256549257,2023
Spironolactone,Spironolactone,7015164,88331619.33000001,2094285.0,15455136.899999999,456683373,2023
"Insulin Glargine,hum.Rec.Anlog",Lantus Solostar,6931026,4310701891.290001,1829932.0,12143585.000000004,343834675,2023
Azithromycin,Azithromycin,6703405,49317787.52,5331274.0,6989275.899999999,54039390,2023
Glipizide,Glipizide,6621024,105162508.80999999,1879495.0,15798268.400000004,469422176,2023
Fluoxetine Hcl,Fluoxetine Hcl,6495496,98928141.97000003,1457227.0,12249294.9,360076719,2023
Buspirone Hcl,Buspirone Hcl,6459819,120815761.68999998,1476611.0,9477329.600000001,270987544,2023
Ezetimibe,Ezetimibe,6372346,264260810.88000003,1910184.0,15724468.2,469019735,2023
