Gnrc_Name,Brnd_Name,Tot_Clms,Tot_Drug_Cst,Tot_Benes,Tot_30day_Fills,Tot_Day_Suply,year
Oseltamivir Phosphate,Oseltamivir Phosphate,164589,6743584.879999999,149099.0,164606.1,1175289,2024
Diclofenac Epolamine,Diclofenac Epolamine,163776,111175607.30000001,41257.0,186294.1,5474182,2024
Febuxostat,Febuxostat,163160,16260290.179999994,45373.0,280601.9,8268814,2024
Apremilast,Otezla,163042,789471953.3199997,38251.0,169505.90000000002,4995202,2024
Upadacitinib,Rinvoq,161517,1124402418.9400003,31041.0,174231.90000000002,5217999,2024
Dolutegravir Sodium/Lamivudine,Dovato,159927,485647727.91999984,24536.0,165169.4,4934923,2024
Atogepant,Qulipta,158395,191454805.76000002,36990.0,178981.69999999998,5304424,2024
"Syringe And Needle,insulin,1ml",Insulin Syringe,156995,4954455.219999999,51512.0,280548.2,8279428,2024
Etodolac,Etodolac,153359,5193791.480000001,68186.0,185267.3,4720923,2024
Cyanocobalamin (Vitamin B-12),Cyanocobalamin Injection,153278,1967592.6800000004,49100.0,272717.50000000006,7979749,2024
Acetazolamide,Acetazolamide,152567,6934383.27,57446.0,200779.1,5115535,2024
Clobazam,Clobazam,150448,39416024.82,30495.0,178945.90000000002,5152236,2024
Propafenone Hcl,Propafenone Hcl,147270,11371785.469999999,43302.0,296325.80000000005,8721186,2024
Insulin Aspart Prot/Insuln Asp,Insulin Aspart Prot Mix 70-30,147064,37478352.78000001,41884.0,219723.29999999996,6100009,2024
Brinzolamide,Brinzolamide,146622,32206454.980000004,45265.0,276199.20000000007,8229844,2024
Dapaglifloz Propaned/Metformin,Xigduo Xr,146555,126526405.38999999,36892.0,241121.59999999995,7178714,2024
Trihexyphenidyl Hcl,Trihexyphenidyl Hcl,145271,1825282.4199999997,34598.0,176776.10000000006,4854777,2024
Vancomycin Hcl,Vancomycin Hcl,144310,19507038.02,44152.0,148139.3,1411922,2024
Risedronate Sodium,Risedronate Sodium,142881,11996132.790000001,43934.0,308623.9,9173503,2024
Nintedanib Esylate,Ofev,142734,1833961636.7899995,26644.0,145439.0,4351642,2024
Felodipine,Felodipine Er,142297,3865709.3299999987,41391.0,325023.00000000006,9621329,2024
Collagenase Clostridium Hist.,Santyl,140988,133610799.36,65140.0,151253.7,3148927,2024
Bicalutamide,Bicalutamide,140559,4501531.56,51083.0,240721.29999999996,7024416,2024
Guanfacine Hcl,Guanfacine Hcl,140181,4836724.8999999985,36979.0,168585.09999999998,4788059,2024
Perphenazine,Perphenazine,140105,7701149.8100000005,30242.0,157013.20000000004,4292587,2024
Epinephrine,Epinephrine,139114,28449489.56,101035.0,150062.49999999997,3015726,2024
Tretinoin,Tretinoin,138761,9856489.100000001,60642.0,159212.09999999998,4554725,2024
Polymyxin B Sulf/Trimethoprim,Polymyxin B Sul-Trimethoprim,137573,1185019.2000000002,110036.0,173760.59999999998,4297468,2024
Atenolol/Chlorthalidone,Atenolol-Chlorthalidone,137561,3400381.11,41092.0,328135.20000000007,9793962,2024
Sod Picosulf/Mag Ox/Citric Ac,Clenpiq,134304,22885975.81000001,130810.0,135413.89999999997,314843,2024
Glycopyrrolate,Glycopyrrolate,133879,5814828.899999996,36081.0,152763.40000000002,3945043,2024
Ruxolitinib Phosphate,Jakafi,133293,1784809680.1100001,29820.0,134950.4,4023195,2024
