Gnrc_Name,Brnd_Name,Tot_Clms,Tot_Drug_Cst,Tot_Benes,Tot_30day_Fills,Tot_Day_Suply,year
Abatacept,Orencia Clickject,103691,616325435.7900001,21297.0,109413.2,3070607,2024
Abatacept/Maltose,Orencia,5852,21427908.050000004,1232.0,5948.099999999999,165540,2019
Abatacept/Maltose,Orencia,6220,23420524.89,1318.0,6287.4000000000015,174851,2020
Abatacept/Maltose,Orencia,6996,28392083.18,1481.0,7106.300000000001,197393,2021
Abatacept/Maltose,Orencia,8784,37848016.5,1804.0,8957.899999999998,249013,2022
Abatacept/Maltose,Orencia,9741,44347836.15,2034.0,9934.600000000002,276187,2023
Abatacept/Maltose,Orencia,11390,52447417.81,2325.0,11668.599999999997,322404,2024
Abemaciclib,Verzenio,9837,114470347.10999995,2775.0,9862.6,273393,2019
Abemaciclib,Verzenio,13935,173571727.99000004,3856.0,13963.7,388779,2020
Abemaciclib,Verzenio,14579,191537731.79,3941.0,14592.2,406057,2021
Abemaciclib,Verzenio,21593,300821722.81000006,5634.0,21639.9,599460,2022
Abemaciclib,Verzenio,35027,523800711.13000005,8566.0,35148.40000000001,978122,2023
Abemaciclib,Verzenio,53775,787406593.2900003,12311.0,53988.2,1505439,2024
"Abiraterone Acet,submicronized",Yonsa,610,5884188.2700000005,165.0,610.0,18300,2019
"Abiraterone Acet,submicronized",Yonsa,1016,9807257.500000002,243.0,1020.0,30586,2020
"Abiraterone Acet,submicronized",Yonsa,989,9517415.310000002,234.0,990.0,29680,2021
"Abiraterone Acet,submicronized",Yonsa,1035,10053869.429999998,249.0,1037.0,31059,2022
"Abiraterone Acet,submicronized",Yonsa,797,8370084.300000001,168.0,800.0,24000,2023
"Abiraterone Acet,submicronized",Yonsa,1003,10030622.06,278.0,1024.4,30491,2024
Abiraterone Acetate,Abiraterone Acetate,133016,982875700.54,29598.0,135020.40000000002,4023730,2019
Abiraterone Acetate,Abiraterone Acetate,153554,663103302.8999999,31650.0,156301.49999999997,4660917,2020
Abiraterone Acetate,Abiraterone Acetate,182668,583878354.42,35860.0,186190.7,5558869,2021
Abiraterone Acetate,Abiraterone Acetate,207931,639773627.79,40514.0,214510.5,6403499,2022
Abiraterone Acetate,Abiraterone Acetate,290428,807734631.7499999,52857.0,301116.5,8995770,2023
Abiraterone Acetate,Abiraterone Acetate,361319,642196328.8700001,63895.0,377653.3,11288482,2024
Abobotulinumtoxina,Dysport,426,599667.1,143.0,974.4,26364,2019
Abobotulinumtoxina,Dysport,452,642745.3700000001,158.0,1203.1999999999998,34940,2020
Abobotulinumtoxina,Dysport,581,905921.84,179.0,1515.9,43403,2021
Abobotulinumtoxina,Dysport,719,1187184.5,245.0,1929.4,56123,2022
Abobotulinumtoxina,Dysport,749,1281372.5499999998,261.0,2033.3,59692,2023
Abobotulinumtoxina,Dysport,1106,1850962.63,400.0,3008.4,88449,2024
Abrocitinib,Cibinqo,25,131469.94,10.0,25.0,750,2022
Abrocitinib,Cibinqo,433,2615855.76,160.0,457.0,13710,2023
Abrocitinib,Cibinqo,1143,6712368.940000003,390.0,1215.0,36252,2024
Acalabrutinib,Calquence,4129,56829737.88999999,1186.0,4145.0,124057,2019
Acalabrutinib,Calquence,16377,223672751.83,4193.0,16457.1,490606,2020
Acalabrutinib,Calquence,42171,574940567.21,9685.0,42336.4,1264981,2021
Acalabrutinib,Calquence,54918,762633714.5999997,12337.0,55160.0,1648730,2022
Acalabrutinib,Calquence,395,5596790.32,134.0,404.0,12061,2023
Acalabrutinib,Calquence,25,345315.45,10.0,25.0,750,2024
Acalabrutinib Maleate,Calquence,2364,32842261.789999995,841.0,2384.7,71377,2022
Acalabrutinib Maleate,Calquence,71706,1022652477.7599998,15696.0,72100.29999999999,2157348,2023
Acalabrutinib Maleate,Calquence,103061,1431537798.0699997,21009.0,103681.2,3104812,2024
Acamprosate Calcium,Acamprosate Calcium,11430,1688813.2500000007,4169.0,12155.8,324491,2019
Acamprosate Calcium,Acamprosate Calcium,13021,1863424.45,4692.0,13891.500000000002,375737,2020
Acamprosate Calcium,Acamprosate Calcium,13764,2026478.26,5008.0,14719.599999999997,396481,2021
Acamprosate Calcium,Acamprosate Calcium,13906,1976731.3000000005,5016.0,14898.000000000002,393347,2022
Acamprosate Calcium,Acamprosate Calcium,14313,2009262.84,5143.0,15419.500000000002,410307,2023
Acamprosate Calcium,Acamprosate Calcium,12512,1388363.22,4380.0,13382.999999999998,336143,2024
Acarbose,Acarbose,120035,5640823.96,30678.0,193076.3,5663825,2019
Acarbose,Acarbose,115942,6180334.249999998,29950.0,198171.30000000005,5832974,2020
Acarbose,Acarbose,108348,6020690.099999998,28491.0,193659.19999999995,5714178,2021
Acarbose,Acarbose,102309,5567253.029999999,27085.0,186098.4,5491614,2022
Acarbose,Acarbose,98300,5348162.139999999,26619.0,181957.60000000003,5374444,2023
Acarbose,Acarbose,102012,3556527.5199999986,27834.0,190650.79999999996,5637010,2024
Acebutolol Hcl,Acebutolol Hcl,40329,1506995.7200000004,11484.0,70163.1,2061422,2019
Acebutolol Hcl,Acebutolol Hcl,37163,1818881.65,10658.0,68975.0,2031415,2020
