Trade_Name,Alternative_Trade_Name,TE_Code,Alternative_TE_Code
CYCLOSPORINE,GENGRAF,AB2,AB1
GENGRAF,CYCLOSPORINE,AB1,AB1
TRETINOIN,AVITA,AB1,AB
DILTIAZEM HYDROCHLORIDE,CARTIA XT,AB3,AB3
TADALAFIL,ALYQ,AB2,AB2
INCASSIA,NORETHINDRONE,AB1,AB2
ERRIN,NORETHINDRONE,AB2,AB2
EMZAHH,NORETHINDRONE,AB2,AB2
CAMILA,NORETHINDRONE,AB1,AB2
HEATHER,NORETHINDRONE,AB1,AB2
JENCYCLA,NORETHINDRONE,AB2,AB2
NORETHINDRONE,INCASSIA,AB1,AB1
TESTOSTERONE,VOGELXO,AB2,AB2
ALYQ,TADALAFIL,AB2,AB1
CARTIA XT,DILTIAZEM HYDROCHLORIDE,AB3,AB1
GABAPENTIN,RELGAABI,AB,AB
RELGAABI,GABAPENTIN,AB,AB
LEVOTHYROXINE SODIUM,LEVOLET,"AB1,AB2,AB3","AB1,AB2,AB3,AB4"
LEVOTHYROXINE SODIUM,LEVOLET,AB4,"AB1,AB2,AB3,AB4"
LEVOTHYROXINE SODIUM,LEVOLET,AB2,"AB1,AB2,AB3,AB4"
LEVOLET,LEVOTHYROXINE SODIUM,"AB1,AB2,AB3,AB4","AB1,AB2,AB3,AB4"
LEVO-T,LEVOTHYROXINE SODIUM,"AB1,AB2,AB3","AB1,AB2,AB3,AB4"
POTASSIUM CHLORIDE,KLOR-CON M10,AB2,AB1
POTASSIUM CHLORIDE,KLOR-CON M10,AB1,AB1
KLOR-CON M10,POTASSIUM CHLORIDE,AB1,AB2
LEVONORGESTREL AND ETHINYL ESTRADIOL AND FERROUS FUMARATE,ASHLYNA,AB3,AB
MINZOYA,ASHLYNA,AB3,AB
POTASSIUM CHLORIDE,KLOR-CON M10,AB3,AB1
BETA-VAL,BETAMETHASONE VALERATE,AB,AB
BETAMETHASONE VALERATE,BETA-VAL,AB,AB
AVITA,TRETINOIN,AB,AB
BETA-VAL,VALNAC,AB,AB
SAPROPTERIN DIHYDROCHLORIDE,ZELVYSIA,AB,AB
SUMATRIPTAN SUCCINATE,SUMATRIPTAN SUCCINATE (AUTOINJECTOR),AB,AB
SUMATRIPTAN SUCCINATE (AUTOINJECTOR),SUMATRIPTAN SUCCINATE,AB,AB
ZELVYSIA,SAPROPTERIN DIHYDROCHLORIDE,AB,AB
VOGELXO,TESTOSTERONE,AB2,AB1
CARBAMAZEPINE,EPITOL,AB,AB
EPITOL,CARBAMAZEPINE,AB,AB
