Trade_Name,Alternative_Trade_Name,TE_Code,Alternative_TE_Code,Original_Cost,Estimated_Alternative_Cost,Cost_Reduction_Pct,Original_Benes,Simulated_Access_Coverage_Pct,PMPM_Saving,Cost_Requirement,Access_Requirement,Final_Decision
TADALAFIL,ALYQ,AB2,AB2,70578296.0,59991551.6,14.999999999999996,59832.0,100.0,14.745097940901188,True,True,RECOMMEND SWITCH
TRETINOIN,AVITA,AB1,AB,10017024.0,8514470.4,14.999999999999996,59430.0,100.0,2.106895507319535,True,True,RECOMMEND SWITCH
SUMATRIPTAN SUCCINATE,SUMATRIPTAN SUCCINATE (AUTOINJECTOR),AB,AB,41744456.0,35482787.6,14.999999999999996,334110.0,100.0,1.5617781568944356,True,True,RECOMMEND SWITCH
TRETINOIN,AVITA,AB,AB,10017024.0,8514470.4,14.999999999999996,59430.0,100.0,2.106895507319535,True,True,RECOMMEND SWITCH
DESMOPRESSIN ACETATE (NEEDS NO REFRIGERATION),DESMOPRESSIN ACETATE,AB,AB,,,,,,,False,False,DATA NEEDED
DOXORUBICIN HYDROCHLORIDE (LIPOSOMAL),DOXORUBICIN HYDROCHLORIDE,AB,AB,,,,,,,False,False,DATA NEEDED
DILTIAZEM HYDROCHLORIDE,CARTIA XT,AB1,AB3,,,,,,,False,False,DATA NEEDED
CLARAVIS,ZENATANE,AB1,AB1,,,,,,,False,False,DATA NEEDED
DILTIAZEM HYDROCHLORIDE,CARTIA XT,AB2,AB3,,,,,,,False,False,DATA NEEDED
ORMALVI,DICHLORPHENAMIDE,AB,AB,,,,,,,False,False,DATA NEEDED
JAYTHARI,DEFLAZACORT,AB,AB,,,,,,,False,False,DATA NEEDED
JANTOVEN,WARFARIN SODIUM,AB,AB,,,,,,,False,False,DATA NEEDED
JAIMIESS,ASHLYNA,AB,AB,,,,,,,False,False,DATA NEEDED
LEVONORGESTREL AND ETHINYL ESTRADIOL,ASHLYNA,AB,AB,,,,,,,False,False,DATA NEEDED
LEVONORGESTREL AND ETHINYL ESTRADIOL AND ETHINYL ESTRADIOL,ASHLYNA,AB,AB,,,,,,,False,False,DATA NEEDED
SIMPESSE,ASHLYNA,AB,AB,,,,,,,False,False,DATA NEEDED
DAYSEE,ASHLYNA,AB,AB,,,,,,,False,False,DATA NEEDED
LOPURIN,ALLOPURINOL,AB,AB,,,,,,,False,False,DATA NEEDED
SORINE,SOTALOL HYDROCHLORIDE,AB,AB,,,,,,,False,False,DATA NEEDED
