Model,Accuracy,Precision,Recall,Weighted_F1,Macro_F1
Random Forest,0.948981926332647,0.9583252336770796,0.948981926332647,0.9531700893357924,0.472932258748688
XGBoost,0.9588194921070693,0.9519365917661816,0.9588194921070693,0.9547639235575784,0.47855515324378917
