iter	TotalF1	MultiClass
78	0.9490334409	0.1844992958
79	0.9492421974	0.1828906783
80	0.9494437142	0.1811051408
81	0.9495676323	0.1795692866
82	0.9495137326	0.1782401249
83	0.9497483273	0.177039516
84	0.9498193933	0.1758937579
85	0.9498626832	0.1744803351
86	0.9499801824	0.173448251
87	0.9499736531	0.1720255535
88	0.9499736531	0.1711406713
89	0.9500736743	0.1698786057
90	0.9500166098	0.1687977574
91	0.9500166098	0.1677442395
92	0.9501162444	0.1671063078
93	0.9501229316	0.1663140093
94	0.9502929389	0.1654859643
95	0.9503756449	0.1645094837
96	0.9503163614	0.1637276582
97	0.9503756449	0.1629449068
98	0.9503760333	0.1622042603
99	0.9505755879	0.1615606703
100	0.9506383102	0.1605189968
101	0.9505788842	0.1596305338
102	0.9504971564	0.1589968584
103	0.9506377194	0.1584544512
104	0.9509850048	0.1577714402
105	0.9509850048	0.1572976195
106	0.9511577791	0.1566435276
107	0.9510943107	0.1562408616
108	0.9510125828	0.1556929823
109	0.9512966967	0.1553042721
110	0.9512951942	0.1550259368
111	0.9514563368	0.1544181747
112	0.9513967033	0.1540616464
113	0.9514540133	0.1534909351
114	0.9514540133	0.153151125
115	0.9515360618	0.1525494675
116	0.9515360618	0.152062302
117	0.9515360618	0.1518080729
118	0.9515256717	0.1512192829
119	0.9515256717	0.1510034463
120	0.9515804376	0.1504733992
121	0.9516993664	0.1500264217
122	0.9516549679	0.1496159756
123	0.9516993664	0.1492801209
124	0.9519418967	0.1488840595
125	0.9518902339	0.1484515003
126	0.9520078906	0.1481336738
127	0.952045659	0.1477475041
128	0.9520639507	0.1476544627
129	0.9522085682	0.1475581556
130	0.9523771492	0.1472628375
131	0.95241568	0.1469534206
132	0.9524154824	0.1466012374
133	0.952415612	0.1461885708
134	0.9524705606	0.1459045956
135	0.9524365099	0.1455238592
136	0.9524365099	0.1452860149
137	0.9524809329	0.1449048707
138	0.9525132901	0.1446347515
139	0.9525132901	0.1443024947
140	0.9525132901	0.1440794514
141	0.9525720915	0.1437574965
142	0.9525276685	0.1432234345
143	0.9525865459	0.1429641675
144	0.9525865459	0.142599408
145	0.9526451461	0.1424102023
146	0.9526451461	0.1420647052
147	0.9527181275	0.1417144944
148	0.9527181275	0.1415518972
149	0.9527181275	0.1413401178
150	0.9528363193	0.1410141344
151	0.9527219024	0.1405780391
152	0.9527767142	0.1401803113
153	0.9528593625	0.1397949394
154	0.952999627	0.1396344017
155	0.9530043552	0.1392539486
156	0.9531036164	0.1389001118
157	0.9530147541	0.1385897609
158	0.9530756302	0.1382435751
159	0.9532302823	0.1378382874
160	0.953311697	0.1376023366
161	0.953311697	0.1373380565
162	0.953311697	0.1368773556
163	0.9534518481	0.1367381926
164	0.9534518481	0.1364526777
165	0.9536149894	0.1360965625
166	0.9535702739	0.1357428784
167	0.9535702739	0.1356468976
168	0.9535702739	0.1355275046
169	0.9535702739	0.1352739612
170	0.9535702739	0.1352399494
171	0.9540924714	0.1348561683
172	0.9540924714	0.1348320688
173	0.9540924714	0.1345697998
174	0.9541378854	0.1343310785
175	0.9540570007	0.1339888009
176	0.954332861	0.133631233
177	0.9543287574	0.1333290208
178	0.9542078372	0.1329960516
179	0.9544691416	0.13281519
180	0.9544776412	0.1325847123
181	0.9546192156	0.132309752
182	0.9546192156	0.1320553357
183	0.9545495932	0.1318982694
184	0.954608002	0.1317441108
185	0.9545483059	0.1315849321
186	0.954608002	0.1314635694
187	0.9545622959	0.131306923
188	0.9545622959	0.1312937981
189	0.9545622959	0.1311423561
190	0.9544573563	0.1309119812
191	0.9544573563	0.1307532223
192	0.9546745626	0.130528136
193	0.9547782359	0.1304049315
194	0.9547331796	0.1302531978
195	0.9547331796	0.1301363974
196	0.9546546436	0.1299216626
197	0.9547551118	0.129711303
198	0.954710068	0.129588599
199	0.954710068	0.129392274
200	0.954788604	0.1291970306
201	0.9548921727	0.1289837997
202	0.9548921727	0.1288212915
203	0.9549505147	0.1287569572
204	0.9548789712	0.1286249014
205	0.9549505147	0.1285364262
206	0.9549505147	0.128366681
207	0.9549505147	0.1281331815
208	0.9550283653	0.1280091995
209	0.9550283653	0.1279312299
210	0.9551105462	0.1276769495
211	0.9551821449	0.1275992986
212	0.9552404158	0.1275057293
213	0.9552404158	0.1274805754
214	0.9553175647	0.1273832819
215	0.9553175647	0.1273141811
216	0.9552592938	0.1272017415
217	0.9551876611	0.1268886743
218	0.9551876611	0.1267353666
219	0.9552557767	0.1265325432
220	0.9552557767	0.1264572521
221	0.9554037961	0.1263200094
222	0.9555109015	0.1260492617
223	0.9555109015	0.1259496203
224	0.9555109015	0.1259369203
225	0.9555109015	0.1259009836
226	0.955646701	0.1258636541
227	0.9555577565	0.1256525178
228	0.9557113294	0.1255391828
229	0.955828824	0.1253192454
230	0.9559051975	0.1252405607
231	0.9558989878	0.1250905952
232	0.9559607049	0.1249319226
233	0.9560139258	0.1247908601
234	0.95620438	0.1245826893
235	0.9562156932	0.1243982536
236	0.9562772119	0.1243002653
237	0.9562867115	0.1241103754
238	0.9562867115	0.1240282172
239	0.9563865697	0.1239442768
240	0.9563865697	0.1238757441
241	0.9564534576	0.1236990846
