Ingredient,DF;Route,Trade_Name,Applicant,Strength,Appl_Type,Appl_No,Product_No,TE_Code,Approval_Date,RLD,RS,Type,Applicant_Full_Name,Dosage_Form,Route_Of_Administration,Approved_Prior_To_1982,Approval_Date_ISO,AB_Family,RLD_Trade_Name,RLD_Appl_No,RLD_Product_No,RLD_TE_Code,Patent_Count,Patent_Numbers,Patent_Expiry,Patent_Use_Codes,Exclusivity_Count,Exclusivity_Codes,Exclusivity_Dates,TE_Eligible,Alternative_Drug,Alternative_Trade_Name,Alternative_TE_Code,TE_Decision
BUDESONIDE,"AEROSOL, FOAM;RECTAL",BUDESONIDE,PADAGIS ISRAEL,2MG/ACTUATION,A,215328,1,AB,"Apr 12, 2023",False,True,RX,PADAGIS ISRAEL PHARMACEUTICALS LTD,"AEROSOL, FOAM",RECTAL,False,2023-04-12,True,UCERIS,205613,1,AB,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,AMNEAL IRELAND LTD,EQ 0.09MG BASE/INH,A,211600,1,AB2,"Dec 1, 2025",False,False,RX,AMNEAL IRELAND LTD,"AEROSOL, METERED",INHALATION,False,2025-12-01,True,PROAIR HFA,21457,1,AB2,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,AMNEAL IRELAND LTD,EQ 0.09MG BASE/INH,A,211600,1,AB2,"Dec 1, 2025",False,False,RX,AMNEAL IRELAND LTD,"AEROSOL, METERED",INHALATION,False,2025-12-01,True,PROVENTIL-HFA,20503,1,AB1,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,AMNEAL IRELAND LTD,EQ 0.09MG BASE/INH,A,211600,1,AB2,"Dec 1, 2025",False,False,RX,AMNEAL IRELAND LTD,"AEROSOL, METERED",INHALATION,False,2025-12-01,True,VENTOLIN HFA,20983,1,AB3,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,ARMSTRONG PHARMS,EQ 0.09MG BASE/INH,A,212447,1,AB2,"May 21, 2024",False,False,RX,ARMSTRONG PHARMACEUTICALS INC,"AEROSOL, METERED",INHALATION,False,2024-05-21,True,PROAIR HFA,21457,1,AB2,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,ARMSTRONG PHARMS,EQ 0.09MG BASE/INH,A,212447,1,AB2,"May 21, 2024",False,False,RX,ARMSTRONG PHARMACEUTICALS INC,"AEROSOL, METERED",INHALATION,False,2024-05-21,True,PROVENTIL-HFA,20503,1,AB1,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,ARMSTRONG PHARMS,EQ 0.09MG BASE/INH,A,212447,1,AB2,"May 21, 2024",False,False,RX,ARMSTRONG PHARMACEUTICALS INC,"AEROSOL, METERED",INHALATION,False,2024-05-21,True,VENTOLIN HFA,20983,1,AB3,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,CIPLA,EQ 0.09MG BASE/INH,A,209959,1,AB1,"Apr 8, 2020",False,False,RX,CIPLA LTD,"AEROSOL, METERED",INHALATION,False,2020-04-08,True,PROAIR HFA,21457,1,AB2,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,CIPLA,EQ 0.09MG BASE/INH,A,209959,1,AB1,"Apr 8, 2020",False,False,RX,CIPLA LTD,"AEROSOL, METERED",INHALATION,False,2020-04-08,True,PROVENTIL-HFA,20503,1,AB1,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,CIPLA,EQ 0.09MG BASE/INH,A,209959,1,AB1,"Apr 8, 2020",False,False,RX,CIPLA LTD,"AEROSOL, METERED",INHALATION,False,2020-04-08,True,VENTOLIN HFA,20983,1,AB3,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,CIPLA,EQ 0.09MG BASE/INH,A,219409,1,AB3,"Apr 22, 2026",False,False,RX,CIPLA LTD,"AEROSOL, METERED",INHALATION,False,2026-04-22,True,PROAIR HFA,21457,1,AB2,0.0,,,,1.0,CGT,2026-12-19,True,,,,NO ALTERNATIVE FOUND
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,CIPLA,EQ 0.09MG BASE/INH,A,219409,1,AB3,"Apr 22, 2026",False,False,RX,CIPLA LTD,"AEROSOL, METERED",INHALATION,False,2026-04-22,True,PROVENTIL-HFA,20503,1,AB1,0.0,,,,1.0,CGT,2026-12-19,True,,,,NO ALTERNATIVE FOUND
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,CIPLA,EQ 0.09MG BASE/INH,A,219409,1,AB3,"Apr 22, 2026",False,False,RX,CIPLA LTD,"AEROSOL, METERED",INHALATION,False,2026-04-22,True,VENTOLIN HFA,20983,1,AB3,0.0,,,,1.0,CGT,2026-12-19,True,,,,NO ALTERNATIVE FOUND
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,LUPIN,EQ 0.09MG BASE/INH,A,209954,1,AB2,"Aug 24, 2020",False,False,RX,LUPIN INC,"AEROSOL, METERED",INHALATION,False,2020-08-24,True,PROAIR HFA,21457,1,AB2,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,LUPIN,EQ 0.09MG BASE/INH,A,209954,1,AB2,"Aug 24, 2020",False,False,RX,LUPIN INC,"AEROSOL, METERED",INHALATION,False,2020-08-24,True,PROVENTIL-HFA,20503,1,AB1,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,LUPIN,EQ 0.09MG BASE/INH,A,209954,1,AB2,"Aug 24, 2020",False,False,RX,LUPIN INC,"AEROSOL, METERED",INHALATION,False,2020-08-24,True,VENTOLIN HFA,20983,1,AB3,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,PADAGIS US,EQ 0.09MG BASE/INH,A,203760,1,AB2,"Feb 24, 2020",False,False,RX,PADAGIS US LLC,"AEROSOL, METERED",INHALATION,False,2020-02-24,True,PROAIR HFA,21457,1,AB2,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,PADAGIS US,EQ 0.09MG BASE/INH,A,203760,1,AB2,"Feb 24, 2020",False,False,RX,PADAGIS US LLC,"AEROSOL, METERED",INHALATION,False,2020-02-24,True,PROVENTIL-HFA,20503,1,AB1,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,PADAGIS US,EQ 0.09MG BASE/INH,A,203760,1,AB2,"Feb 24, 2020",False,False,RX,PADAGIS US LLC,"AEROSOL, METERED",INHALATION,False,2020-02-24,True,VENTOLIN HFA,20983,1,AB3,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,SANDOZ,EQ 0.09MG BASE/INH,A,207085,1,AB1,"Jun 1, 2021",False,False,RX,SANDOZ INC,"AEROSOL, METERED",INHALATION,False,2021-06-01,True,PROAIR HFA,21457,1,AB2,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,SANDOZ,EQ 0.09MG BASE/INH,A,207085,1,AB1,"Jun 1, 2021",False,False,RX,SANDOZ INC,"AEROSOL, METERED",INHALATION,False,2021-06-01,True,PROVENTIL-HFA,20503,1,AB1,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,SANDOZ,EQ 0.09MG BASE/INH,A,207085,1,AB1,"Jun 1, 2021",False,False,RX,SANDOZ INC,"AEROSOL, METERED",INHALATION,False,2021-06-01,True,VENTOLIN HFA,20983,1,AB3,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
IPRATROPIUM BROMIDE,"AEROSOL, METERED;INHALATION",IPRATROPIUM BROMIDE,ARMSTRONG PHARMS,0.021MG/INH,A,217953,1,AB,"Feb 23, 2026",False,False,RX,ARMSTRONG PHARMACEUTICALS INC,"AEROSOL, METERED",INHALATION,False,2026-02-23,True,ATROVENT HFA,21527,1,AB,0.0,,,,1.0,PC,2026-10-13,True,,,,NO ALTERNATIVE FOUND
BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,"AEROSOL, METERED;INHALATION",BREYNA,MYLAN,0.08MG/INH;0.0045MG/INH,A,211699,1,AB,"Mar 15, 2022",False,False,RX,MYLAN PHARMACEUTICALS INC,"AEROSOL, METERED",INHALATION,False,2022-03-15,True,SYMBICORT,21929,1,AB,0.0,,,,0.0,,,True,BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,BUDESONIDE AND FORMOTEROL FUMARATE DIHYDRATE,AB,TE-EQUIVALENT ALTERNATIVE
BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,"AEROSOL, METERED;INHALATION",BUDESONIDE AND FORMOTEROL FUMARATE DIHYDRATE,TEVA PHARMS USA INC,0.08MG/INH;0.0045MG/INH,A,212212,1,AB,"Apr 23, 2026",False,False,RX,TEVA PHARMACEUTICALS USA INC,"AEROSOL, METERED",INHALATION,False,2026-04-23,True,SYMBICORT,21929,1,AB,0.0,,,,0.0,,,True,BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,BREYNA,AB,TE-EQUIVALENT ALTERNATIVE
BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,"AEROSOL, METERED;INHALATION",BREYNA,MYLAN,0.16MG/INH;0.0045MG/INH,A,211699,2,AB,"Mar 15, 2022",False,False,RX,MYLAN PHARMACEUTICALS INC,"AEROSOL, METERED",INHALATION,False,2022-03-15,True,SYMBICORT,21929,2,AB,0.0,,,,0.0,,,True,BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,BUDESONIDE AND FORMOTEROL FUMARATE DIHYDRATE,AB,TE-EQUIVALENT ALTERNATIVE
BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,"AEROSOL, METERED;INHALATION",BUDESONIDE AND FORMOTEROL FUMARATE DIHYDRATE,TEVA PHARMS USA INC,0.16MG/INH;0.0045MG/INH,A,212212,2,AB,"Apr 23, 2026",False,False,RX,TEVA PHARMACEUTICALS USA INC,"AEROSOL, METERED",INHALATION,False,2026-04-23,True,SYMBICORT,21929,2,AB,0.0,,,,0.0,,,True,BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,BREYNA,AB,TE-EQUIVALENT ALTERNATIVE
FLUTICASONE PROPIONATE,"AEROSOL, METERED;INHALATION",FLUTICASONE PROPIONATE,GLENMARK SPECLT,0.044MG/INH,A,219602,1,AB,"Mar 3, 2026",False,False,RX,GLENMARK SPECIALTY SA,"AEROSOL, METERED",INHALATION,False,2026-03-03,True,FLOVENT HFA,21433,3,AB,0.0,,,,1.0,CGT,2026-09-20,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ACTAVIS ELIZABETH,EQ 20MG BASE,A,90776,1,AB,"Dec 17, 2013",False,False,RX,ACTAVIS ELIZABETH LLC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2013-12-17,True,CYMBALTA,21427,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ACTAVIS ELIZABETH,EQ 20MG BASE,A,90776,1,AB,"Dec 17, 2013",False,False,RX,ACTAVIS ELIZABETH LLC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2013-12-17,True,DRIZALMA SPRINKLE,212516,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,AJANTA PHARMA LTD,EQ 20MG BASE,A,208706,1,AB,"Jan 6, 2017",False,False,RX,AJANTA PHARMA LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2017-01-06,True,CYMBALTA,21427,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,AJANTA PHARMA LTD,EQ 20MG BASE,A,208706,1,AB,"Jan 6, 2017",False,False,RX,AJANTA PHARMA LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2017-01-06,True,DRIZALMA SPRINKLE,212516,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ALEMBIC,EQ 20MG BASE,A,202949,1,AB,"Jun 9, 2014",False,False,RX,ALEMBIC PHARMACEUTICALS LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2014-06-09,True,CYMBALTA,21427,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ALEMBIC,EQ 20MG BASE,A,202949,1,AB,"Jun 9, 2014",False,False,RX,ALEMBIC PHARMACEUTICALS LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2014-06-09,True,DRIZALMA SPRINKLE,212516,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ALKEM LABS LTD,EQ 20MG BASE,A,203197,1,AB,"Aug 26, 2015",False,False,RX,ALKEM LABORATORIES LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2015-08-26,True,CYMBALTA,21427,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ALKEM LABS LTD,EQ 20MG BASE,A,203197,1,AB,"Aug 26, 2015",False,False,RX,ALKEM LABORATORIES LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2015-08-26,True,DRIZALMA SPRINKLE,212516,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,AUROBINDO PHARMA LTD,EQ 20MG BASE,A,90778,1,AB,"Dec 11, 2013",False,False,RX,AUROBINDO PHARMA LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2013-12-11,True,CYMBALTA,21427,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,AUROBINDO PHARMA LTD,EQ 20MG BASE,A,90778,1,AB,"Dec 11, 2013",False,False,RX,AUROBINDO PHARMA LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2013-12-11,True,DRIZALMA SPRINKLE,212516,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,BRECKENRIDGE,EQ 20MG BASE,A,203088,1,AB,"Jun 11, 2014",False,False,RX,BRECKENRIDGE PHARMACEUTICAL INC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2014-06-11,True,CYMBALTA,21427,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,BRECKENRIDGE,EQ 20MG BASE,A,203088,1,AB,"Jun 11, 2014",False,False,RX,BRECKENRIDGE PHARMACEUTICAL INC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2014-06-11,True,DRIZALMA SPRINKLE,212516,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,CSPC OUYI,EQ 20MG BASE,A,211310,1,AB,"Oct 16, 2018",False,False,RX,CSPC OUYI PHARMACEUTICAL CO LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2018-10-16,True,CYMBALTA,21427,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,CSPC OUYI,EQ 20MG BASE,A,211310,1,AB,"Oct 16, 2018",False,False,RX,CSPC OUYI PHARMACEUTICAL CO LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2018-10-16,True,DRIZALMA SPRINKLE,212516,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,HETERO LABS LTD III,EQ 20MG BASE,A,204343,1,AB,"Aug 3, 2016",False,False,RX,HETERO LABS LTD UNIT III,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2016-08-03,True,CYMBALTA,21427,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,HETERO LABS LTD III,EQ 20MG BASE,A,204343,1,AB,"Aug 3, 2016",False,False,RX,HETERO LABS LTD UNIT III,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2016-08-03,True,DRIZALMA SPRINKLE,212516,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,INVENTIA,EQ 20MG BASE,A,202336,1,AB,"Oct 28, 2015",False,False,RX,INVENTIA HEALTHCARE LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2015-10-28,True,CYMBALTA,21427,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,INVENTIA,EQ 20MG BASE,A,202336,1,AB,"Oct 28, 2015",False,False,RX,INVENTIA HEALTHCARE LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2015-10-28,True,DRIZALMA SPRINKLE,212516,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,LUPIN,EQ 20MG BASE,A,90694,1,AB,"Dec 11, 2013",False,False,RX,LUPIN LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2013-12-11,True,CYMBALTA,21427,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,LUPIN,EQ 20MG BASE,A,90694,1,AB,"Dec 11, 2013",False,False,RX,LUPIN LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2013-12-11,True,DRIZALMA SPRINKLE,212516,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,MACLEODS PHARMS LTD,EQ 20MG BASE,A,204815,1,AB,"Mar 23, 2017",False,False,RX,MACLEODS PHARMACEUTICALS LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2017-03-23,True,CYMBALTA,21427,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,MACLEODS PHARMS LTD,EQ 20MG BASE,A,204815,1,AB,"Mar 23, 2017",False,False,RX,MACLEODS PHARMACEUTICALS LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2017-03-23,True,DRIZALMA SPRINKLE,212516,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,PRINSTON INC,EQ 20MG BASE,A,206653,1,AB,"May 18, 2017",False,False,RX,PRINSTON PHARMACEUTICAL INC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2017-05-18,True,CYMBALTA,21427,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,PRINSTON INC,EQ 20MG BASE,A,206653,1,AB,"May 18, 2017",False,False,RX,PRINSTON PHARMACEUTICAL INC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2017-05-18,True,DRIZALMA SPRINKLE,212516,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,QINGDAO BAHEAL PHARM,EQ 20MG BASE,A,210599,1,AB,"Apr 17, 2019",False,False,RX,QINGDAO BAHEAL PHARMACEUTICAL CO LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2019-04-17,True,CYMBALTA,21427,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,QINGDAO BAHEAL PHARM,EQ 20MG BASE,A,210599,1,AB,"Apr 17, 2019",False,False,RX,QINGDAO BAHEAL PHARMACEUTICAL CO LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2019-04-17,True,DRIZALMA SPRINKLE,212516,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,SUNSHINE,EQ 20MG BASE,A,212328,1,AB,"Feb 11, 2021",False,False,RX,SUNSHINE LAKE PHARMA CO LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2021-02-11,True,CYMBALTA,21427,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,SUNSHINE,EQ 20MG BASE,A,212328,1,AB,"Feb 11, 2021",False,False,RX,SUNSHINE LAKE PHARMA CO LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2021-02-11,True,DRIZALMA SPRINKLE,212516,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ZYDUS HLTHCARE,EQ 20MG BASE,A,90739,1,AB,"Jan 8, 2014",False,False,RX,ZYDUS HEALTHCARE USA LLC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2014-01-08,True,CYMBALTA,21427,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ZYDUS HLTHCARE,EQ 20MG BASE,A,90739,1,AB,"Jan 8, 2014",False,False,RX,ZYDUS HEALTHCARE USA LLC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2014-01-08,True,DRIZALMA SPRINKLE,212516,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ZYDUS PHARMS,EQ 20MG BASE,A,90728,1,AB,"Jan 8, 2014",False,False,RX,ZYDUS PHARMACEUTICALS USA INC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2014-01-08,True,CYMBALTA,21427,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ZYDUS PHARMS,EQ 20MG BASE,A,90728,1,AB,"Jan 8, 2014",False,False,RX,ZYDUS PHARMACEUTICALS USA INC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2014-01-08,True,DRIZALMA SPRINKLE,212516,1,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ACTAVIS ELIZABETH,EQ 30MG BASE,A,90776,2,AB,"Dec 17, 2013",False,False,RX,ACTAVIS ELIZABETH LLC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2013-12-17,True,CYMBALTA,21427,2,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ACTAVIS ELIZABETH,EQ 30MG BASE,A,90776,2,AB,"Dec 17, 2013",False,False,RX,ACTAVIS ELIZABETH LLC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2013-12-17,True,DRIZALMA SPRINKLE,212516,2,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,AJANTA PHARMA LTD,EQ 30MG BASE,A,208706,2,AB,"Jan 6, 2017",False,False,RX,AJANTA PHARMA LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2017-01-06,True,CYMBALTA,21427,2,,0.0,,,,0.0,,,True,,,,NO ALTERNATIVE FOUND
