Trade_Name,Ingredient,TE_Code,Alternative_Trade_Name,Alternative_TE_Code,TE_Decision
FULVICIN P/G,"GRISEOFULVIN, ULTRAMICROSIZE",AB,"GRISEOFULVIN, ULTRAMICROSIZE",AB,TE-EQUIVALENT ALTERNATIVE
"GRISEOFULVIN,ULTRAMICROSIZE","GRISEOFULVIN, ULTRAMICROSIZE",AB,"GRISEOFULVIN, ULTRAMICROSIZE",AB,TE-EQUIVALENT ALTERNATIVE
PRASUGREL,PRASUGREL HYDROCHLORIDE,AB,PRASUGREL HYDROCHLORIDE,AB,TE-EQUIVALENT ALTERNATIVE
PRASUGREL HYDROCHLORIDE,PRASUGREL HYDROCHLORIDE,AB,PRASUGREL,AB,TE-EQUIVALENT ALTERNATIVE
DROSPIRENONE AND ETHINYL ESTRADIOL,DROSPIRENONE; ETHINYL ESTRADIOL,AB,LO-ZUMANDIMINE,AB,TE-EQUIVALENT ALTERNATIVE
LO-ZUMANDIMINE,DROSPIRENONE; ETHINYL ESTRADIOL,AB,DROSPIRENONE AND ETHINYL ESTRADIOL,AB,TE-EQUIVALENT ALTERNATIVE
LORYNA,DROSPIRENONE; ETHINYL ESTRADIOL,AB,DROSPIRENONE AND ETHINYL ESTRADIOL,AB,TE-EQUIVALENT ALTERNATIVE
MELAMISA,DROSPIRENONE; ETHINYL ESTRADIOL,AB,DROSPIRENONE AND ETHINYL ESTRADIOL,AB,TE-EQUIVALENT ALTERNATIVE
NIKKI,DROSPIRENONE; ETHINYL ESTRADIOL,AB,DROSPIRENONE AND ETHINYL ESTRADIOL,AB,TE-EQUIVALENT ALTERNATIVE
TYDEMY,DROSPIRENONE; ETHINYL ESTRADIOL; LEVOMEFOLATE CALCIUM,AB,"DROSPIRENONE, ETHINYL ESTRADIOL AND LEVOMEFOLATE CALCIUM",AB,TE-EQUIVALENT ALTERNATIVE
EMTRICITABINE AND TENOFOVIR DISOPROXIL FUMARATE,EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE,AB,EMTRICITABINE AND  TENOFOVIR DISOPROXIL FUMARATE,AB,TE-EQUIVALENT ALTERNATIVE
EMTRICITABINE AND  TENOFOVIR DISOPROXIL FUMARATE,EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE,AB,EMTRICITABINE AND TENOFOVIR DISOPROXIL FUMARATE,AB,TE-EQUIVALENT ALTERNATIVE
UREX,METHENAMINE HIPPURATE,AB,METHENAMINE HIPPURATE,AB,TE-EQUIVALENT ALTERNATIVE
SETLAKIN,ETHINYL ESTRADIOL; LEVONORGESTREL,AB,ASHLYNA,AB,TE-EQUIVALENT ALTERNATIVE
ICLEVIA,ETHINYL ESTRADIOL; LEVONORGESTREL,AB,ASHLYNA,AB,TE-EQUIVALENT ALTERNATIVE
INTROVALE,ETHINYL ESTRADIOL; LEVONORGESTREL,AB,ASHLYNA,AB,TE-EQUIVALENT ALTERNATIVE
QUASENSE,ETHINYL ESTRADIOL; LEVONORGESTREL,AB,ASHLYNA,AB,TE-EQUIVALENT ALTERNATIVE
YARGESA,MIGLUSTAT,AB,MIGLUSTAT,AB,TE-EQUIVALENT ALTERNATIVE
MIGLUSTAT,MIGLUSTAT,AB,YARGESA,AB,TE-EQUIVALENT ALTERNATIVE
TRETINOIN,TRETINOIN,AB,TRETINOIN MICROSPHERE,AB,TE-EQUIVALENT ALTERNATIVE
TRETINOIN MICROSPHERE,TRETINOIN,AB,TRETINOIN,AB,TE-EQUIVALENT ALTERNATIVE
VALNAC,BETAMETHASONE VALERATE,AB,DERMABET,AB,TE-EQUIVALENT ALTERNATIVE
DERMABET,BETAMETHASONE VALERATE,AB,VALNAC,AB,TE-EQUIVALENT ALTERNATIVE
