Ingredient,DF;Route,Trade_Name,Applicant,Strength,Appl_Type,Appl_No,Product_No,TE_Code,Approval_Date,RLD,RS,Type,Applicant_Full_Name,Dosage_Form,Route_Of_Administration,Approved_Prior_To_1982,Approval_Date_ISO,AB_Family,RLD_Trade_Name,RLD_Appl_No,RLD_Product_No,RLD_TE_Code,Patent_Count,Patent_Numbers,Patent_Expiry,Patent_Use_Codes,Exclusivity_Count,Exclusivity_Codes,Exclusivity_Dates
BUDESONIDE,"AEROSOL, FOAM;RECTAL",BUDESONIDE,PADAGIS ISRAEL,2MG/ACTUATION,A,215328,001,AB,"Apr 12, 2023",False,True,RX,PADAGIS ISRAEL PHARMACEUTICALS LTD,"AEROSOL, FOAM",RECTAL,False,2023-04-12,True,UCERIS,205613,001,AB,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,AMNEAL IRELAND LTD,EQ 0.09MG BASE/INH,A,211600,001,AB2,"Dec 1, 2025",False,False,RX,AMNEAL IRELAND LTD,"AEROSOL, METERED",INHALATION,False,2025-12-01,True,PROAIR HFA,021457,001,AB2,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,AMNEAL IRELAND LTD,EQ 0.09MG BASE/INH,A,211600,001,AB2,"Dec 1, 2025",False,False,RX,AMNEAL IRELAND LTD,"AEROSOL, METERED",INHALATION,False,2025-12-01,True,PROVENTIL-HFA,020503,001,AB1,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,AMNEAL IRELAND LTD,EQ 0.09MG BASE/INH,A,211600,001,AB2,"Dec 1, 2025",False,False,RX,AMNEAL IRELAND LTD,"AEROSOL, METERED",INHALATION,False,2025-12-01,True,VENTOLIN HFA,020983,001,AB3,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,ARMSTRONG PHARMS,EQ 0.09MG BASE/INH,A,212447,001,AB2,"May 21, 2024",False,False,RX,ARMSTRONG PHARMACEUTICALS INC,"AEROSOL, METERED",INHALATION,False,2024-05-21,True,PROAIR HFA,021457,001,AB2,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,ARMSTRONG PHARMS,EQ 0.09MG BASE/INH,A,212447,001,AB2,"May 21, 2024",False,False,RX,ARMSTRONG PHARMACEUTICALS INC,"AEROSOL, METERED",INHALATION,False,2024-05-21,True,PROVENTIL-HFA,020503,001,AB1,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,ARMSTRONG PHARMS,EQ 0.09MG BASE/INH,A,212447,001,AB2,"May 21, 2024",False,False,RX,ARMSTRONG PHARMACEUTICALS INC,"AEROSOL, METERED",INHALATION,False,2024-05-21,True,VENTOLIN HFA,020983,001,AB3,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,CIPLA,EQ 0.09MG BASE/INH,A,209959,001,AB1,"Apr 8, 2020",False,False,RX,CIPLA LTD,"AEROSOL, METERED",INHALATION,False,2020-04-08,True,PROAIR HFA,021457,001,AB2,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,CIPLA,EQ 0.09MG BASE/INH,A,209959,001,AB1,"Apr 8, 2020",False,False,RX,CIPLA LTD,"AEROSOL, METERED",INHALATION,False,2020-04-08,True,PROVENTIL-HFA,020503,001,AB1,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,CIPLA,EQ 0.09MG BASE/INH,A,209959,001,AB1,"Apr 8, 2020",False,False,RX,CIPLA LTD,"AEROSOL, METERED",INHALATION,False,2020-04-08,True,VENTOLIN HFA,020983,001,AB3,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,CIPLA,EQ 0.09MG BASE/INH,A,219409,001,AB3,"Apr 22, 2026",False,False,RX,CIPLA LTD,"AEROSOL, METERED",INHALATION,False,2026-04-22,True,PROAIR HFA,021457,001,AB2,0.0,,,,1.0,CGT,2026-12-19
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,CIPLA,EQ 0.09MG BASE/INH,A,219409,001,AB3,"Apr 22, 2026",False,False,RX,CIPLA LTD,"AEROSOL, METERED",INHALATION,False,2026-04-22,True,PROVENTIL-HFA,020503,001,AB1,0.0,,,,1.0,CGT,2026-12-19
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,CIPLA,EQ 0.09MG BASE/INH,A,219409,001,AB3,"Apr 22, 2026",False,False,RX,CIPLA LTD,"AEROSOL, METERED",INHALATION,False,2026-04-22,True,VENTOLIN HFA,020983,001,AB3,0.0,,,,1.0,CGT,2026-12-19
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,LUPIN,EQ 0.09MG BASE/INH,A,209954,001,AB2,"Aug 24, 2020",False,False,RX,LUPIN INC,"AEROSOL, METERED",INHALATION,False,2020-08-24,True,PROAIR HFA,021457,001,AB2,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,LUPIN,EQ 0.09MG BASE/INH,A,209954,001,AB2,"Aug 24, 2020",False,False,RX,LUPIN INC,"AEROSOL, METERED",INHALATION,False,2020-08-24,True,PROVENTIL-HFA,020503,001,AB1,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,LUPIN,EQ 0.09MG BASE/INH,A,209954,001,AB2,"Aug 24, 2020",False,False,RX,LUPIN INC,"AEROSOL, METERED",INHALATION,False,2020-08-24,True,VENTOLIN HFA,020983,001,AB3,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,PADAGIS US,EQ 0.09MG BASE/INH,A,203760,001,AB2,"Feb 24, 2020",False,False,RX,PADAGIS US LLC,"AEROSOL, METERED",INHALATION,False,2020-02-24,True,PROAIR HFA,021457,001,AB2,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,PADAGIS US,EQ 0.09MG BASE/INH,A,203760,001,AB2,"Feb 24, 2020",False,False,RX,PADAGIS US LLC,"AEROSOL, METERED",INHALATION,False,2020-02-24,True,PROVENTIL-HFA,020503,001,AB1,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,PADAGIS US,EQ 0.09MG BASE/INH,A,203760,001,AB2,"Feb 24, 2020",False,False,RX,PADAGIS US LLC,"AEROSOL, METERED",INHALATION,False,2020-02-24,True,VENTOLIN HFA,020983,001,AB3,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,SANDOZ,EQ 0.09MG BASE/INH,A,207085,001,AB1,"Jun 1, 2021",False,False,RX,SANDOZ INC,"AEROSOL, METERED",INHALATION,False,2021-06-01,True,PROAIR HFA,021457,001,AB2,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,SANDOZ,EQ 0.09MG BASE/INH,A,207085,001,AB1,"Jun 1, 2021",False,False,RX,SANDOZ INC,"AEROSOL, METERED",INHALATION,False,2021-06-01,True,PROVENTIL-HFA,020503,001,AB1,0.0,,,,0.0,,
ALBUTEROL SULFATE,"AEROSOL, METERED;INHALATION",ALBUTEROL SULFATE,SANDOZ,EQ 0.09MG BASE/INH,A,207085,001,AB1,"Jun 1, 2021",False,False,RX,SANDOZ INC,"AEROSOL, METERED",INHALATION,False,2021-06-01,True,VENTOLIN HFA,020983,001,AB3,0.0,,,,0.0,,
IPRATROPIUM BROMIDE,"AEROSOL, METERED;INHALATION",IPRATROPIUM BROMIDE,ARMSTRONG PHARMS,0.021MG/INH,A,217953,001,AB,"Feb 23, 2026",False,False,RX,ARMSTRONG PHARMACEUTICALS INC,"AEROSOL, METERED",INHALATION,False,2026-02-23,True,ATROVENT HFA,021527,001,AB,0.0,,,,1.0,PC,2026-10-13
BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,"AEROSOL, METERED;INHALATION",BREYNA,MYLAN,0.08MG/INH;0.0045MG/INH,A,211699,001,AB,"Mar 15, 2022",False,False,RX,MYLAN PHARMACEUTICALS INC,"AEROSOL, METERED",INHALATION,False,2022-03-15,True,SYMBICORT,021929,001,AB,0.0,,,,0.0,,
BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,"AEROSOL, METERED;INHALATION",BUDESONIDE AND FORMOTEROL FUMARATE DIHYDRATE,TEVA PHARMS USA INC,0.08MG/INH;0.0045MG/INH,A,212212,001,AB,"Apr 23, 2026",False,False,RX,TEVA PHARMACEUTICALS USA INC,"AEROSOL, METERED",INHALATION,False,2026-04-23,True,SYMBICORT,021929,001,AB,0.0,,,,0.0,,
BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,"AEROSOL, METERED;INHALATION",BREYNA,MYLAN,0.16MG/INH;0.0045MG/INH,A,211699,002,AB,"Mar 15, 2022",False,False,RX,MYLAN PHARMACEUTICALS INC,"AEROSOL, METERED",INHALATION,False,2022-03-15,True,SYMBICORT,021929,002,AB,0.0,,,,0.0,,
BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,"AEROSOL, METERED;INHALATION",BUDESONIDE AND FORMOTEROL FUMARATE DIHYDRATE,TEVA PHARMS USA INC,0.16MG/INH;0.0045MG/INH,A,212212,002,AB,"Apr 23, 2026",False,False,RX,TEVA PHARMACEUTICALS USA INC,"AEROSOL, METERED",INHALATION,False,2026-04-23,True,SYMBICORT,021929,002,AB,0.0,,,,0.0,,
FLUTICASONE PROPIONATE,"AEROSOL, METERED;INHALATION",FLUTICASONE PROPIONATE,GLENMARK SPECLT,0.044MG/INH,A,219602,001,AB,"Mar 3, 2026",False,False,RX,GLENMARK SPECIALTY SA,"AEROSOL, METERED",INHALATION,False,2026-03-03,True,FLOVENT HFA,021433,003,AB,0.0,,,,1.0,CGT,2026-09-20
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ACTAVIS ELIZABETH,EQ 20MG BASE,A,090776,001,AB,"Dec 17, 2013",False,False,RX,ACTAVIS ELIZABETH LLC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2013-12-17,True,CYMBALTA,021427,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ACTAVIS ELIZABETH,EQ 20MG BASE,A,090776,001,AB,"Dec 17, 2013",False,False,RX,ACTAVIS ELIZABETH LLC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2013-12-17,True,DRIZALMA SPRINKLE,212516,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,AJANTA PHARMA LTD,EQ 20MG BASE,A,208706,001,AB,"Jan 6, 2017",False,False,RX,AJANTA PHARMA LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2017-01-06,True,CYMBALTA,021427,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,AJANTA PHARMA LTD,EQ 20MG BASE,A,208706,001,AB,"Jan 6, 2017",False,False,RX,AJANTA PHARMA LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2017-01-06,True,DRIZALMA SPRINKLE,212516,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ALEMBIC,EQ 20MG BASE,A,202949,001,AB,"Jun 9, 2014",False,False,RX,ALEMBIC PHARMACEUTICALS LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2014-06-09,True,CYMBALTA,021427,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ALEMBIC,EQ 20MG BASE,A,202949,001,AB,"Jun 9, 2014",False,False,RX,ALEMBIC PHARMACEUTICALS LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2014-06-09,True,DRIZALMA SPRINKLE,212516,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ALKEM LABS LTD,EQ 20MG BASE,A,203197,001,AB,"Aug 26, 2015",False,False,RX,ALKEM LABORATORIES LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2015-08-26,True,CYMBALTA,021427,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ALKEM LABS LTD,EQ 20MG BASE,A,203197,001,AB,"Aug 26, 2015",False,False,RX,ALKEM LABORATORIES LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2015-08-26,True,DRIZALMA SPRINKLE,212516,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,AUROBINDO PHARMA LTD,EQ 20MG BASE,A,090778,001,AB,"Dec 11, 2013",False,False,RX,AUROBINDO PHARMA LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2013-12-11,True,CYMBALTA,021427,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,AUROBINDO PHARMA LTD,EQ 20MG BASE,A,090778,001,AB,"Dec 11, 2013",False,False,RX,AUROBINDO PHARMA LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2013-12-11,True,DRIZALMA SPRINKLE,212516,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,BRECKENRIDGE,EQ 20MG BASE,A,203088,001,AB,"Jun 11, 2014",False,False,RX,BRECKENRIDGE PHARMACEUTICAL INC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2014-06-11,True,CYMBALTA,021427,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,BRECKENRIDGE,EQ 20MG BASE,A,203088,001,AB,"Jun 11, 2014",False,False,RX,BRECKENRIDGE PHARMACEUTICAL INC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2014-06-11,True,DRIZALMA SPRINKLE,212516,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,CSPC OUYI,EQ 20MG BASE,A,211310,001,AB,"Oct 16, 2018",False,False,RX,CSPC OUYI PHARMACEUTICAL CO LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2018-10-16,True,CYMBALTA,021427,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,CSPC OUYI,EQ 20MG BASE,A,211310,001,AB,"Oct 16, 2018",False,False,RX,CSPC OUYI PHARMACEUTICAL CO LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2018-10-16,True,DRIZALMA SPRINKLE,212516,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,HETERO LABS LTD III,EQ 20MG BASE,A,204343,001,AB,"Aug 3, 2016",False,False,RX,HETERO LABS LTD UNIT III,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2016-08-03,True,CYMBALTA,021427,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,HETERO LABS LTD III,EQ 20MG BASE,A,204343,001,AB,"Aug 3, 2016",False,False,RX,HETERO LABS LTD UNIT III,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2016-08-03,True,DRIZALMA SPRINKLE,212516,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,INVENTIA,EQ 20MG BASE,A,202336,001,AB,"Oct 28, 2015",False,False,RX,INVENTIA HEALTHCARE LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2015-10-28,True,CYMBALTA,021427,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,INVENTIA,EQ 20MG BASE,A,202336,001,AB,"Oct 28, 2015",False,False,RX,INVENTIA HEALTHCARE LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2015-10-28,True,DRIZALMA SPRINKLE,212516,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,LUPIN,EQ 20MG BASE,A,090694,001,AB,"Dec 11, 2013",False,False,RX,LUPIN LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2013-12-11,True,CYMBALTA,021427,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,LUPIN,EQ 20MG BASE,A,090694,001,AB,"Dec 11, 2013",False,False,RX,LUPIN LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2013-12-11,True,DRIZALMA SPRINKLE,212516,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,MACLEODS PHARMS LTD,EQ 20MG BASE,A,204815,001,AB,"Mar 23, 2017",False,False,RX,MACLEODS PHARMACEUTICALS LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2017-03-23,True,CYMBALTA,021427,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,MACLEODS PHARMS LTD,EQ 20MG BASE,A,204815,001,AB,"Mar 23, 2017",False,False,RX,MACLEODS PHARMACEUTICALS LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2017-03-23,True,DRIZALMA SPRINKLE,212516,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,PRINSTON INC,EQ 20MG BASE,A,206653,001,AB,"May 18, 2017",False,False,RX,PRINSTON PHARMACEUTICAL INC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2017-05-18,True,CYMBALTA,021427,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,PRINSTON INC,EQ 20MG BASE,A,206653,001,AB,"May 18, 2017",False,False,RX,PRINSTON PHARMACEUTICAL INC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2017-05-18,True,DRIZALMA SPRINKLE,212516,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,QINGDAO BAHEAL PHARM,EQ 20MG BASE,A,210599,001,AB,"Apr 17, 2019",False,False,RX,QINGDAO BAHEAL PHARMACEUTICAL CO LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2019-04-17,True,CYMBALTA,021427,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,QINGDAO BAHEAL PHARM,EQ 20MG BASE,A,210599,001,AB,"Apr 17, 2019",False,False,RX,QINGDAO BAHEAL PHARMACEUTICAL CO LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2019-04-17,True,DRIZALMA SPRINKLE,212516,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,SUNSHINE,EQ 20MG BASE,A,212328,001,AB,"Feb 11, 2021",False,False,RX,SUNSHINE LAKE PHARMA CO LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2021-02-11,True,CYMBALTA,021427,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,SUNSHINE,EQ 20MG BASE,A,212328,001,AB,"Feb 11, 2021",False,False,RX,SUNSHINE LAKE PHARMA CO LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2021-02-11,True,DRIZALMA SPRINKLE,212516,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ZYDUS HLTHCARE,EQ 20MG BASE,A,090739,001,AB,"Jan 8, 2014",False,False,RX,ZYDUS HEALTHCARE USA LLC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2014-01-08,True,CYMBALTA,021427,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ZYDUS HLTHCARE,EQ 20MG BASE,A,090739,001,AB,"Jan 8, 2014",False,False,RX,ZYDUS HEALTHCARE USA LLC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2014-01-08,True,DRIZALMA SPRINKLE,212516,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ZYDUS PHARMS,EQ 20MG BASE,A,090728,001,AB,"Jan 8, 2014",False,False,RX,ZYDUS PHARMACEUTICALS USA INC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2014-01-08,True,CYMBALTA,021427,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ZYDUS PHARMS,EQ 20MG BASE,A,090728,001,AB,"Jan 8, 2014",False,False,RX,ZYDUS PHARMACEUTICALS USA INC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2014-01-08,True,DRIZALMA SPRINKLE,212516,001,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ACTAVIS ELIZABETH,EQ 30MG BASE,A,090776,002,AB,"Dec 17, 2013",False,False,RX,ACTAVIS ELIZABETH LLC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2013-12-17,True,CYMBALTA,021427,002,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ACTAVIS ELIZABETH,EQ 30MG BASE,A,090776,002,AB,"Dec 17, 2013",False,False,RX,ACTAVIS ELIZABETH LLC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2013-12-17,True,DRIZALMA SPRINKLE,212516,002,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,AJANTA PHARMA LTD,EQ 30MG BASE,A,208706,002,AB,"Jan 6, 2017",False,False,RX,AJANTA PHARMA LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2017-01-06,True,CYMBALTA,021427,002,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,AJANTA PHARMA LTD,EQ 30MG BASE,A,208706,002,AB,"Jan 6, 2017",False,False,RX,AJANTA PHARMA LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2017-01-06,True,DRIZALMA SPRINKLE,212516,002,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ALEMBIC,EQ 30MG BASE,A,202949,002,AB,"Jun 9, 2014",False,False,RX,ALEMBIC PHARMACEUTICALS LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2014-06-09,True,CYMBALTA,021427,002,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ALEMBIC,EQ 30MG BASE,A,202949,002,AB,"Jun 9, 2014",False,False,RX,ALEMBIC PHARMACEUTICALS LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2014-06-09,True,DRIZALMA SPRINKLE,212516,002,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ALKEM LABS LTD,EQ 30MG BASE,A,203197,002,AB,"Aug 26, 2015",False,False,RX,ALKEM LABORATORIES LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2015-08-26,True,CYMBALTA,021427,002,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,ALKEM LABS LTD,EQ 30MG BASE,A,203197,002,AB,"Aug 26, 2015",False,False,RX,ALKEM LABORATORIES LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2015-08-26,True,DRIZALMA SPRINKLE,212516,002,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,AUROBINDO PHARMA LTD,EQ 30MG BASE,A,090778,002,AB,"Dec 11, 2013",False,False,RX,AUROBINDO PHARMA LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2013-12-11,True,CYMBALTA,021427,002,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,AUROBINDO PHARMA LTD,EQ 30MG BASE,A,090778,002,AB,"Dec 11, 2013",False,False,RX,AUROBINDO PHARMA LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2013-12-11,True,DRIZALMA SPRINKLE,212516,002,,0.0,,,,0.0,,
DULOXETINE HYDROCHLORIDE,"CAPSULE, DELAYED REL PELLETS;ORAL",DULOXETINE HYDROCHLORIDE,BRECKENRIDGE,EQ 30MG BASE,A,203088,002,AB,"Jun 11, 2014",False,False,RX,BRECKENRIDGE PHARMACEUTICAL INC,"CAPSULE, DELAYED REL PELLETS",ORAL,False,2014-06-11,True,CYMBALTA,021427,002,,0.0,,,,0.0,,
