Ingredient,DF;Route,Trade_Name,Applicant,Strength,Appl_Type,Appl_No,Product_No,TE_Code,Approval_Date,RLD,RS,Type,Applicant_Full_Name,Dosage_Form,Route_Of_Administration,Approved_Prior_To_1982,Approval_Date_ISO,AB_Family,RLD_Trade_Name,RLD_Appl_No,RLD_Product_No,RLD_TE_Code,Patent_Count,Patent_Numbers,Patent_Expiry,Patent_Use_Codes,Exclusivity_Count,Exclusivity_Codes,Exclusivity_Dates,Predicted_TE_Code,TE_Score,Patent_Score,Exclusivity_Score,RS_Score,Final_Score,Rank
VILAZODONE HYDROCHLORIDE,TABLET;ORAL,VILAZODONE HYDROCHLORIDE,ACCORD HLTHCARE,40MG,A,208209,3,AB,"Apr 27, 2021",False,False,RX,ACCORD HEALTHCARE INC,TABLET,ORAL,False,2021-04-27,True,VIIBRYD,22567,3,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3421
VILAZODONE HYDROCHLORIDE,TABLET;ORAL,VILAZODONE HYDROCHLORIDE,ALEMBIC,40MG,A,208202,3,AB,"Jan 10, 2020",False,False,RX,ALEMBIC PHARMACEUTICALS LTD,TABLET,ORAL,False,2020-01-10,True,VIIBRYD,22567,3,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3422
VILAZODONE HYDROCHLORIDE,TABLET;ORAL,VILAZODONE HYDROCHLORIDE,APOTEX,40MG,A,208228,3,AB,"Jul 7, 2023",False,False,RX,APOTEX INC,TABLET,ORAL,False,2023-07-07,True,VIIBRYD,22567,3,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3423
VILAZODONE HYDROCHLORIDE,TABLET;ORAL,VILAZODONE HYDROCHLORIDE,INVAGEN PHARMS,40MG,A,208200,2,AB,"Apr 7, 2021",False,False,RX,INVAGEN PHARMACEUTICALS INC,TABLET,ORAL,False,2021-04-07,True,VIIBRYD,22567,3,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3424
VILAZODONE HYDROCHLORIDE,TABLET;ORAL,VILAZODONE HYDROCHLORIDE,TEVA PHARMS USA,40MG,A,208212,3,AB,"Sep 30, 2019",False,False,RX,TEVA PHARMACEUTICALS USA,TABLET,ORAL,False,2019-09-30,True,VIIBRYD,22567,3,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3425
ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,TABLET;ORAL-21,AUROVELA 1.5/30,AUROBINDO PHARMA,0.03MG;1.5MG,A,207581,1,AB,"Jun 26, 2017",False,False,RX,AUROBINDO PHARMA LTD,TABLET,ORAL-21,False,2017-06-26,True,LOESTRIN 21 1.5/30,17875,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3426
ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,TABLET;ORAL-21,AUROVELA 1.5/30,AUROBINDO PHARMA,0.03MG;1.5MG,A,207581,1,AB,"Jun 26, 2017",False,False,RX,AUROBINDO PHARMA LTD,TABLET,ORAL-21,False,2017-06-26,True,LOESTRIN FE 1.5/30,17355,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3427
ASENAPINE MALEATE,TABLET;SUBLINGUAL,ASENAPINE MALEATE,ALEMBIC,EQ 2.5MG BASE,A,206098,3,AB,"Jul 19, 2021",False,False,RX,ALEMBIC PHARMACEUTICALS LTD,TABLET,SUBLINGUAL,False,2021-07-19,True,SAPHRIS,22117,3,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3428
ASENAPINE MALEATE,TABLET;SUBLINGUAL,ASENAPINE MALEATE,BRECKENRIDGE,EQ 2.5MG BASE,A,205960,1,AB,"Dec 10, 2020",False,False,RX,BRECKENRIDGE PHARMACEUTICAL INC,TABLET,SUBLINGUAL,False,2020-12-10,True,SAPHRIS,22117,3,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3429
ASENAPINE MALEATE,TABLET;SUBLINGUAL,ASENAPINE MALEATE,ALEMBIC,EQ 5MG BASE,A,206098,1,AB,"Dec 10, 2020",False,False,RX,ALEMBIC PHARMACEUTICALS LTD,TABLET,SUBLINGUAL,False,2020-12-10,True,SAPHRIS,22117,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3430
NITROGLYCERIN,TABLET;SUBLINGUAL,NITROGLYCERIN,DR REDDYS,0.6MG,A,208191,3,AB,"Aug 26, 2016",False,False,RX,DR REDDYS LABORATORIES INC,TABLET,SUBLINGUAL,False,2016-08-26,True,NITROSTAT,21134,3,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3431
NITROGLYCERIN,TABLET;SUBLINGUAL,NITROGLYCERIN,DR REDDYS,0.4MG,A,208191,2,AB,"Aug 26, 2016",False,False,RX,DR REDDYS LABORATORIES INC,TABLET,SUBLINGUAL,False,2016-08-26,True,NITROSTAT,21134,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3432
NITROGLYCERIN,TABLET;SUBLINGUAL,NITROGLYCERIN,GLENMARK SPECLT,0.4MG,A,206391,2,AB,"Sep 19, 2017",False,False,RX,GLENMARK SPECIALTY SA,TABLET,SUBLINGUAL,False,2017-09-19,True,NITROSTAT,21134,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3433
NITROGLYCERIN,TABLET;SUBLINGUAL,NITROGLYCERIN,MANKIND PHARMA,0.4MG,A,217970,2,AB,"Dec 5, 2023",False,False,RX,MANKIND PHARMA LTD,TABLET,SUBLINGUAL,False,2023-12-05,True,NITROSTAT,21134,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3434
NITROGLYCERIN,TABLET;SUBLINGUAL,NITROGLYCERIN,NATCO,0.4MG,A,211604,2,AB,"Apr 30, 2019",False,False,RX,NATCO PHARMA LTD,TABLET,SUBLINGUAL,False,2019-04-30,True,NITROSTAT,21134,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3435
NITROGLYCERIN,TABLET;SUBLINGUAL,NITROGLYCERIN,RUBICON RESEARCH,0.4MG,A,209779,2,AB,"May 3, 2021",False,False,RX,RUBICON RESEARCH LTD,TABLET,SUBLINGUAL,False,2021-05-03,True,NITROSTAT,21134,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3436
NITROGLYCERIN,TABLET;SUBLINGUAL,NITROGLYCERIN,VIWIT PHARM,0.4MG,A,218583,2,AB,"Oct 15, 2024",False,False,RX,VIWIT PHARMACEUTICAL CO LTD,TABLET,SUBLINGUAL,False,2024-10-15,True,NITROSTAT,21134,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3437
NITROGLYCERIN,TABLET;SUBLINGUAL,NITROGLYCERIN,AUROBINDO PHARMA,0.6MG,A,217879,3,AB,"Oct 26, 2023",False,False,RX,AUROBINDO PHARMA LTD,TABLET,SUBLINGUAL,False,2023-10-26,True,NITROSTAT,21134,3,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3438
NITROGLYCERIN,TABLET;SUBLINGUAL,NITROGLYCERIN,GLENMARK SPECLT,0.6MG,A,206391,3,AB,"Sep 19, 2017",False,False,RX,GLENMARK SPECIALTY SA,TABLET,SUBLINGUAL,False,2017-09-19,True,NITROSTAT,21134,3,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3439
ASENAPINE MALEATE,TABLET;SUBLINGUAL,ASENAPINE MALEATE,BRECKENRIDGE,EQ 5MG BASE,A,205960,3,AB,"Mar 8, 2021",False,False,RX,BRECKENRIDGE PHARMACEUTICAL INC,TABLET,SUBLINGUAL,False,2021-03-08,True,SAPHRIS,22117,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3440
NITROGLYCERIN,TABLET;SUBLINGUAL,NITROGLYCERIN,MANKIND PHARMA,0.6MG,A,217970,3,AB,"Dec 5, 2023",False,False,RX,MANKIND PHARMA LTD,TABLET,SUBLINGUAL,False,2023-12-05,True,NITROSTAT,21134,3,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3441
NITROGLYCERIN,TABLET;SUBLINGUAL,NITROGLYCERIN,NATCO,0.6MG,A,211604,3,AB,"Apr 30, 2019",False,False,RX,NATCO PHARMA LTD,TABLET,SUBLINGUAL,False,2019-04-30,True,NITROSTAT,21134,3,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3442
NITROGLYCERIN,TABLET;SUBLINGUAL,NITROGLYCERIN,RUBICON RESEARCH,0.6MG,A,209779,3,AB,"May 3, 2021",False,False,RX,RUBICON RESEARCH LTD,TABLET,SUBLINGUAL,False,2021-05-03,True,NITROSTAT,21134,3,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3443
NITROGLYCERIN,TABLET;SUBLINGUAL,NITROGLYCERIN,VIWIT PHARM,0.6MG,A,218583,3,AB,"Oct 15, 2024",False,False,RX,VIWIT PHARMACEUTICAL CO LTD,TABLET,SUBLINGUAL,False,2024-10-15,True,NITROSTAT,21134,3,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3444
ESTRADIOL,TABLET;VAGINAL,ESTRADIOL,AMNEAL PHARMS,10MCG,A,205256,1,AB,"May 29, 2015",False,False,RX,AMNEAL PHARMACEUTICALS,TABLET,VAGINAL,False,2015-05-29,True,VAGIFEM,20908,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3445
ESTRADIOL,TABLET;VAGINAL,ESTRADIOL,AUROBINDO PHARMA,10MCG,A,216550,1,AB,"Aug 2, 2024",False,False,RX,AUROBINDO PHARMA LTD,TABLET,VAGINAL,False,2024-08-02,True,VAGIFEM,20908,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3446
ESTRADIOL,TABLET;VAGINAL,ESTRADIOL,GLENMARK PHARMS LTD,10MCG,A,210264,1,AB,"Sep 14, 2018",False,False,RX,GLENMARK PHARMACEUTICALS LTD,TABLET,VAGINAL,False,2018-09-14,True,VAGIFEM,20908,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3447
NITROGLYCERIN,TABLET;SUBLINGUAL,NITROGLYCERIN,AUROBINDO PHARMA,0.4MG,A,217879,2,AB,"Oct 26, 2023",False,False,RX,AUROBINDO PHARMA LTD,TABLET,SUBLINGUAL,False,2023-10-26,True,NITROSTAT,21134,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3448
NITROGLYCERIN,TABLET;SUBLINGUAL,NITROGLYCERIN,VIWIT PHARM,0.3MG,A,218583,1,AB,"Oct 15, 2024",False,False,RX,VIWIT PHARMACEUTICAL CO LTD,TABLET,SUBLINGUAL,False,2024-10-15,True,NITROSTAT,21134,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3449
NITROGLYCERIN,TABLET;SUBLINGUAL,NITROGLYCERIN,RUBICON RESEARCH,0.3MG,A,209779,1,AB,"May 3, 2021",False,False,RX,RUBICON RESEARCH LTD,TABLET,SUBLINGUAL,False,2021-05-03,True,NITROSTAT,21134,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3450
NITROGLYCERIN,TABLET;SUBLINGUAL,NITROGLYCERIN,NATCO,0.3MG,A,211604,1,AB,"Apr 30, 2019",False,False,RX,NATCO PHARMA LTD,TABLET,SUBLINGUAL,False,2019-04-30,True,NITROSTAT,21134,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3451
ASENAPINE MALEATE,TABLET;SUBLINGUAL,ASENAPINE MALEATE,SIGMAPHARM LABS LLC,EQ 5MG BASE,A,206107,1,AB,"Dec 10, 2020",False,False,RX,SIGMAPHARM LABORATORIES LLC,TABLET,SUBLINGUAL,False,2020-12-10,True,SAPHRIS,22117,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3452
ASENAPINE MALEATE,TABLET;SUBLINGUAL,ASENAPINE MALEATE,ALEMBIC,EQ 10MG BASE,A,206098,2,AB,"Dec 10, 2020",False,False,RX,ALEMBIC PHARMACEUTICALS LTD,TABLET,SUBLINGUAL,False,2020-12-10,True,SAPHRIS,22117,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3453
ASENAPINE MALEATE,TABLET;SUBLINGUAL,ASENAPINE MALEATE,BRECKENRIDGE,EQ 10MG BASE,A,205960,2,AB,"Dec 10, 2020",False,False,RX,BRECKENRIDGE PHARMACEUTICAL INC,TABLET,SUBLINGUAL,False,2020-12-10,True,SAPHRIS,22117,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3454
ASENAPINE MALEATE,TABLET;SUBLINGUAL,ASENAPINE MALEATE,SIGMAPHARM LABS LLC,EQ 10MG BASE,A,206107,2,AB,"Dec 10, 2020",False,False,RX,SIGMAPHARM LABORATORIES LLC,TABLET,SUBLINGUAL,False,2020-12-10,True,SAPHRIS,22117,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3455
ZOLPIDEM TARTRATE,TABLET;SUBLINGUAL,ZOLPIDEM TARTRATE,PH HEALTH,5MG,A,201509,1,AB,"Aug 1, 2016",False,False,RX,PH HEALTH LTD,TABLET,SUBLINGUAL,False,2016-08-01,True,EDLUAR,21997,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3456
ZOLPIDEM TARTRATE,TABLET;SUBLINGUAL,ZOLPIDEM TARTRATE,PH HEALTH,10MG,A,201509,2,AB,"Aug 1, 2016",False,False,RX,PH HEALTH LTD,TABLET,SUBLINGUAL,False,2016-08-01,True,EDLUAR,21997,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3457
ZOLPIDEM TARTRATE,TABLET;SUBLINGUAL,ZOLPIDEM TARTRATE,DR REDDYS,1.75MG,A,204503,1,AB,"Nov 18, 2016",False,False,RX,DR REDDYS LABORATORIES INC,TABLET,SUBLINGUAL,False,2016-11-18,True,INTERMEZZO,22328,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3458
ZOLPIDEM TARTRATE,TABLET;SUBLINGUAL,ZOLPIDEM TARTRATE,NOVEL LABS INC,1.75MG,A,204299,1,AB,"Jun 3, 2015",False,False,RX,NOVEL LABORATORIES INC,TABLET,SUBLINGUAL,False,2015-06-03,True,INTERMEZZO,22328,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3459
ZOLPIDEM TARTRATE,TABLET;SUBLINGUAL,ZOLPIDEM TARTRATE,PH HEALTH,1.75MG,A,204229,1,AB,"Sep 11, 2017",False,False,RX,PH HEALTH LTD,TABLET,SUBLINGUAL,False,2017-09-11,True,INTERMEZZO,22328,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3460
ZOLPIDEM TARTRATE,TABLET;SUBLINGUAL,ZOLPIDEM TARTRATE,DR REDDYS,3.5MG,A,204503,2,AB,"Nov 18, 2016",False,False,RX,DR REDDYS LABORATORIES INC,TABLET,SUBLINGUAL,False,2016-11-18,True,INTERMEZZO,22328,2,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3461
ZOLPIDEM TARTRATE,TABLET;SUBLINGUAL,ZOLPIDEM TARTRATE,PH HEALTH,3.5MG,A,204229,2,AB,"Sep 11, 2017",False,False,RX,PH HEALTH LTD,TABLET,SUBLINGUAL,False,2017-09-11,True,INTERMEZZO,22328,2,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3462
NITROGLYCERIN,TABLET;SUBLINGUAL,NITROGLYCERIN,AUROBINDO PHARMA,0.3MG,A,217879,1,AB,"Oct 26, 2023",False,False,RX,AUROBINDO PHARMA LTD,TABLET,SUBLINGUAL,False,2023-10-26,True,NITROSTAT,21134,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3463
NITROGLYCERIN,TABLET;SUBLINGUAL,NITROGLYCERIN,DR REDDYS,0.3MG,A,208191,1,AB,"Aug 26, 2016",False,False,RX,DR REDDYS LABORATORIES INC,TABLET,SUBLINGUAL,False,2016-08-26,True,NITROSTAT,21134,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3464
NITROGLYCERIN,TABLET;SUBLINGUAL,NITROGLYCERIN,GLENMARK SPECLT,0.3MG,A,206391,1,AB,"Sep 19, 2017",False,False,RX,GLENMARK SPECIALTY SA,TABLET,SUBLINGUAL,False,2017-09-19,True,NITROSTAT,21134,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3465
NITROGLYCERIN,TABLET;SUBLINGUAL,NITROGLYCERIN,MANKIND PHARMA,0.3MG,A,217970,1,AB,"Dec 5, 2023",False,False,RX,MANKIND PHARMA LTD,TABLET,SUBLINGUAL,False,2023-12-05,True,NITROSTAT,21134,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3466
VILAZODONE HYDROCHLORIDE,TABLET;ORAL,VILAZODONE HYDROCHLORIDE,ACCORD HLTHCARE,10MG,A,208209,1,AB,"Apr 27, 2021",False,False,RX,ACCORD HEALTHCARE INC,TABLET,ORAL,False,2021-04-27,True,VIIBRYD,22567,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3467
VORICONAZOLE,TABLET;ORAL,VORICONAZOLE,RISING,200MG,A,206762,2,AB,"May 24, 2016",False,False,RX,RISING PHARMA HOLDINGS INC,TABLET,ORAL,False,2016-05-24,True,VFEND,21266,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3468
TOPIRAMATE,TABLET;ORAL,TOPIRAMATE,SUN PHARM,50MG,A,90278,2,AB,"Mar 27, 2009",False,False,RX,SUN PHARMACEUTICAL INDUSTRIES LTD,TABLET,ORAL,False,2009-03-27,True,TOPAMAX,20505,5,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3469
URSODIOL,TABLET;ORAL,URSODIOL,GLENMARK PHARMS LTD,500MG,A,90801,2,AB,"Jul 12, 2011",False,False,RX,GLENMARK PHARMACEUTICALS LTD,TABLET,ORAL,False,2011-07-12,True,URSO FORTE,20675,2,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3470
TOPIRAMATE,TABLET;ORAL,TOPIRAMATE,ZYDUS PHARMS USA INC,200MG,A,78235,4,AB,"Mar 27, 2009",False,False,RX,ZYDUS PHARMACEUTICALS USA INC,TABLET,ORAL,False,2009-03-27,True,TOPAMAX,20505,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3471
URSODIOL,TABLET;ORAL,URSODIOL,EPIC PHARMA LLC,250MG,A,214717,1,AB,"Aug 14, 2024",False,False,RX,EPIC PHARMA LLC,TABLET,ORAL,False,2024-08-14,True,URSO 250,20675,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3472
URSODIOL,TABLET;ORAL,URSODIOL,GLENMARK PHARMS LTD,250MG,A,90801,1,AB,"Jul 12, 2011",False,False,RX,GLENMARK PHARMACEUTICALS LTD,TABLET,ORAL,False,2011-07-12,True,URSO 250,20675,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3473
URSODIOL,TABLET;ORAL,URSODIOL,PH HEALTH,250MG,A,202540,1,AB,"Feb 14, 2013",False,False,RX,PH HEALTH LTD,TABLET,ORAL,False,2013-02-14,True,URSO 250,20675,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3474
URSODIOL,TABLET;ORAL,URSODIOL,STRIDES PHARMA,250MG,A,213504,1,AB,"Aug 20, 2020",False,False,RX,STRIDES PHARMA GLOBAL PTE LTD,TABLET,ORAL,False,2020-08-20,True,URSO 250,20675,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3475
URSODIOL,TABLET;ORAL,URSODIOL,ZYDUS LIFESCIENCES,250MG,A,211145,1,AB,"Oct 30, 2018",False,False,RX,ZYDUS LIFESCIENCES GLOBAL FZE,TABLET,ORAL,False,2018-10-30,True,URSO 250,20675,1,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3476
URSODIOL,TABLET;ORAL,URSODIOL,EPIC PHARMA LLC,500MG,A,214717,2,AB,"Aug 14, 2024",False,False,RX,EPIC PHARMA LLC,TABLET,ORAL,False,2024-08-14,True,URSO FORTE,20675,2,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3477
URSODIOL,TABLET;ORAL,URSODIOL,PH HEALTH,500MG,A,202540,2,AB,"Feb 14, 2013",False,False,RX,PH HEALTH LTD,TABLET,ORAL,False,2013-02-14,True,URSO FORTE,20675,2,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3478
TOPIRAMATE,TABLET;ORAL,TOPIRAMATE,PHARMACO,200MG,A,77733,4,AB,"Mar 27, 2009",False,False,RX,PHARMACO LLC,TABLET,ORAL,False,2009-03-27,True,TOPAMAX,20505,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3479
URSODIOL,TABLET;ORAL,URSODIOL,STRIDES PHARMA,500MG,A,213504,2,AB,"Aug 20, 2020",False,False,RX,STRIDES PHARMA GLOBAL PTE LTD,TABLET,ORAL,False,2020-08-20,True,URSO FORTE,20675,2,,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3480
VALACYCLOVIR HYDROCHLORIDE,TABLET;ORAL,VALACYCLOVIR HYDROCHLORIDE,AUROBINDO PHARMA,EQ 1GM BASE,A,90682,2,AB,"May 24, 2010",False,False,RX,AUROBINDO PHARMA LTD,TABLET,ORAL,False,2010-05-24,True,VALTREX,20487,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3481
VALACYCLOVIR HYDROCHLORIDE,TABLET;ORAL,VALACYCLOVIR HYDROCHLORIDE,CHARTWELL RX,EQ 1GM BASE,A,90216,2,AB,"May 24, 2010",False,False,RX,CHARTWELL RX SCIENCES LLC,TABLET,ORAL,False,2010-05-24,True,VALTREX,20487,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3482
VALACYCLOVIR HYDROCHLORIDE,TABLET;ORAL,VALACYCLOVIR HYDROCHLORIDE,JUBILANT GENERICS,EQ 1GM BASE,A,201506,2,AB,"Apr 3, 2012",False,False,RX,JUBILANT GENERICS LTD,TABLET,ORAL,False,2012-04-03,True,VALTREX,20487,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3483
VALACYCLOVIR HYDROCHLORIDE,TABLET;ORAL,VALACYCLOVIR HYDROCHLORIDE,MYLAN PHARMS INC,EQ 1GM BASE,A,78518,2,AB,"May 24, 2010",False,False,RX,MYLAN PHARMACEUTICALS INC,TABLET,ORAL,False,2010-05-24,True,VALTREX,20487,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3484
VALACYCLOVIR HYDROCHLORIDE,TABLET;ORAL,VALACYCLOVIR HYDROCHLORIDE,RISING,EQ 1GM BASE,A,79012,2,AB,"May 24, 2010",False,False,RX,RISING PHARMA HOLDINGS INC,TABLET,ORAL,False,2010-05-24,True,VALTREX,20487,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3485
VALACYCLOVIR HYDROCHLORIDE,TABLET;ORAL,VALACYCLOVIR HYDROCHLORIDE,SUN PHARM INDS LTD,EQ 1GM BASE,A,76588,2,AB,"Jan 31, 2007",False,False,RX,SUN PHARMACEUTICAL INDUSTRIES LTD,TABLET,ORAL,False,2007-01-31,True,VALTREX,20487,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3486
TOPIRAMATE,TABLET;ORAL,TOPIRAMATE,UNICHEM LABS LTD,200MG,A,90162,4,AB,"Feb 19, 2013",False,False,RX,UNICHEM LABORATORIES LTD,TABLET,ORAL,False,2013-02-19,True,TOPAMAX,20505,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3487
TOPIRAMATE,TABLET;ORAL,TOPIRAMATE,INVAGEN PHARMS,200MG,A,79162,4,AB,"Mar 27, 2009",False,False,RX,INVAGEN PHARMACEUTICALS INC,TABLET,ORAL,False,2009-03-27,True,TOPAMAX,20505,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3488
VORICONAZOLE,TABLET;ORAL,VORICONAZOLE,PRINSTON INC,200MG,A,206654,2,AB,"Aug 8, 2016",False,False,RX,PRINSTON PHARMACEUTICAL INC,TABLET,ORAL,False,2016-08-08,True,VFEND,21266,2,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3489
TOPIRAMATE,TABLET;ORAL,TOPIRAMATE,INVAGEN PHARMS,100MG,A,79162,3,AB,"Mar 27, 2009",False,False,RX,INVAGEN PHARMACEUTICALS INC,TABLET,ORAL,False,2009-03-27,True,TOPAMAX,20505,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3490
TOPIRAMATE,TABLET;ORAL,TOPIRAMATE,UNICHEM LABS LTD,50MG,A,90162,2,AB,"Mar 27, 2009",False,False,RX,UNICHEM LABORATORIES LTD,TABLET,ORAL,False,2009-03-27,True,TOPAMAX,20505,5,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3491
TOPIRAMATE,TABLET;ORAL,TOPIRAMATE,ZYDUS PHARMS USA INC,50MG,A,78235,2,AB,"Mar 27, 2009",False,False,RX,ZYDUS PHARMACEUTICALS USA INC,TABLET,ORAL,False,2009-03-27,True,TOPAMAX,20505,5,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3492
TOPIRAMATE,TABLET;ORAL,TOPIRAMATE,ACCORD HLTHCARE,100MG,A,76311,3,AB,"Mar 27, 2009",False,False,RX,ACCORD HEALTHCARE INC,TABLET,ORAL,False,2009-03-27,True,TOPAMAX,20505,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3493
TOPIRAMATE,TABLET;ORAL,TOPIRAMATE,ASCENT PHARMS INC,100MG,A,215414,3,AB,"Aug 26, 2021",False,False,RX,ASCENT PHARMACEUTICALS INC,TABLET,ORAL,False,2021-08-26,True,TOPAMAX,20505,1,AB,0.0,,,,0.0,,,AB,1.0,1.0,1.0,0.0,0.8500000000000001,3494
